AP18_Rnk,PS18_Rnk,KP18_Rank,TeamID,TS18_Team,KP18_Conference,TS18_GP,STA18_W,STA18_L,STA18_Pct,STA18_Strk,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA18_Conf_PA,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PF,STA18_PA,STA18_PPG,STA18_PAPG,TS18_FGM,TS18_FGA,TS18_FG%,TS18_3PM,TS18_3PA,TS18_3P%,TS18_FTM,TS18_FTA,TS18_FT%,KP18_Ajusted Efficiency Margin,KP18_Adjusted Offensive Efficiency,KP18_AOE Rk,KP18_Adjusted Defensive Efficiency,KP18_ADE Rk,KP18_Adjusted Tempo,KP18_AT Rk,KP18_Luck,KP18_Luck Rk,KP18_Strength of Schedule,KP_SOS Rk,KP18_Non-Conference Strength of Schedule,KP18_NCSOS Rk,KP18_Average Opponents Offensive Efficiency,KP18_AOOE Rk,KP18_Average Opponents Defensive Efficiency,KP18_AODE Rk,Team,Seed,Opponent,OppSeed,PF**,PA,WL,OppTeamID,Opp_AP18_Rnk,Opp_PS18_Rnk,Opp_KP18_Rank,Opp_TeamID,Opp_TS18_Team,Opp_KP18_Conference,Opp_TS18_GP,Opp_STA18_W,Opp_STA18_L,Opp_STA18_Pct,Opp_STA18_Strk,Opp_STA18_Conf_W,Opp_STA18_Conf_L,Opp_STA18_Conf_Pct,Opp_STA18_Home_W,Opp_STA18_Home_L,Opp_STA18_Away_W,Opp_STA18_Away_L,Opp_STA18_Neutral_W,Opp_STA18_Neutral_L,Opp_STA18_Top25_W,Opp_STA18_Top25_L,Opp_STA18_Conf_PF,Opp_STA18_Conf_PA,Opp_STA18_Conf_PPG,Opp_STA18_Conf_PAPG,Opp_STA18_PF,Opp_STA18_PA,Opp_STA18_PPG,Opp_STA18_PAPG,Opp_TS18_FGM,Opp_TS18_FGA,Opp_TS18_FG%,Opp_TS18_3PM,Opp_TS18_3PA,Opp_TS18_3P%,Opp_TS18_FTM,Opp_TS18_FTA,Opp_TS18_FT%,Opp_KP18_Ajusted Efficiency Margin,Opp_KP18_Adjusted Offensive Efficiency,Opp_KP18 AOW Rk,Opp_KP18_Adjusted Defensive Efficiency,Opp_KP18_ADE Rk,Opp_KP18_Adjusted Tempo,Opp_KP18_AT Rk,Opp_KP18_Luck,Opp_KP18_Luck_Rk,Opp_KP18_Strength of Schedule,Opp_KP18_SOS Rk,Opp_KP18_Non-Conference Strength of Schedule,Opp_KP18_NCSOS Rk,Opp_KP18_Average Opponents Offensive Efficiency,Opp_KP18_AOOE Rk,Opp_KP18_Average Opponents Defensive Efficiency,Opp_KP18_AODE Rk
,,166,162.0,UMBC,AE,34,25,11,0.6940000000000001,L1,12,4,0.75,15,2,9,7,1,2,1,1,1096,1060,68.5,66.25,2630,2466,73.05555555555556,68.5,886,1993,0.445,346,894,0.387,395,609,0.649,0.5,103.1,206,102.6,124,68.4,170,0.125,2,-4.38,269,-3.55,277,102.7,267,107.1,259,UMBC,16.0,Virginia,1.0,74.0,54.0,W,349.0,1.0,,2,349.0,Virginia,ACC,33,31,3,0.912,L1,17,1,0.9440000000000001,16,1,10,1,5,1,5,1,1154,955,64.1111111111111,53.05555555555557,2283,1836,67.14705882352939,54.0,825,1788,0.461,243,623,0.39,336,443,0.758,29.53,115.2,30,85.6,1,59.4,351,0.048,66,9.24,37,-0.08,158,110.0,33,100.7,33
,,166,162.0,UMBC,AE,34,25,11,0.6940000000000001,L1,12,4,0.75,15,2,9,7,1,2,1,1,1096,1060,68.5,66.25,2630,2466,73.05555555555556,68.5,886,1993,0.445,346,894,0.387,395,609,0.649,0.5,103.1,206,102.6,124,68.4,170,0.125,2,-4.38,269,-3.55,277,102.7,267,107.1,259,UMBC,16.0,Kansas St.,9.0,43.0,50.0,L,323.0,,,42,323.0,Kansas State,B12,33,25,12,0.6759999999999999,L1,10,8,0.556,14,4,6,5,5,3,3,7,1278,1295,71.0,71.94444444444444,2630,2478,71.08108108108108,66.97297297297297,854,1811,0.47200000000000003,229,666,0.344,451,607,0.743,14.77,110.1,78,95.3,21,65.6,302,0.071,31,9.39,34,-6.5,324,111.0,14,101.6,59
16.0,7.0,21,148.0,Wichita State,Amer,32,25,8,0.758,L2,14,4,0.778,13,3,9,2,3,3,2,3,1464,1275,81.33333333333333,70.83333333333333,2731,2364,82.75757575757575,71.63636363636364,930,1944,0.478,292,758,0.385,504,683,0.738,19.03,121.0,4,101.9,111,68.6,162,-0.026000000000000002,254,5.13,73,1.55,114,107.3,79,102.2,70,Wichita St.,4.0,Marshall,13.0,75.0,81.0,L,73.0,,,105,73.0,Marshall,CUSA,34,25,11,0.6940000000000001,L1,12,6,0.667,15,2,6,8,4,1,2,2,1458,1383,81.0,76.83333333333333,3017,2849,83.80555555555556,79.1388888888889,992,2116,0.469,341,963,0.354,540,704,0.767,6.53,109.4,93,102.9,126,74.7,6,0.06,54,0.07,137,-7.0,333,105.6,118,105.5,164
21.0,,18,130.0,Houston,Amer,32,27,8,0.7709999999999999,L1,14,4,0.778,15,0,7,5,5,3,3,4,1365,1156,75.83333333333333,64.22222222222223,2685,2271,76.71428571428571,64.88571428571429,891,1898,0.469,278,714,0.389,440,616,0.7140000000000001,20.24,114.6,38,94.4,13,68.4,167,-0.015,216,3.9,81,-3.08,254,106.6,95,102.7,75,Houston,6.0,Michigan,3.0,63.0,64.0,L,160.0,7.0,,7,160.0,Michigan,B10,35,33,8,0.805,L1,13,5,0.722,15,1,6,5,12,2,5,4,1280,1181,71.1111111111111,65.6111111111111,3019,2596,73.63414634146342,63.3170731707317,943,2003,0.47100000000000003,320,868,0.369,400,607,0.659,24.2,114.7,35,90.5,3,64.9,324,0.052000000000000005,61,10.32,18,-4.83,301,111.4,7,101.1,47
21.0,,18,130.0,Houston,Amer,32,27,8,0.7709999999999999,L1,14,4,0.778,15,0,7,5,5,3,3,4,1365,1156,75.83333333333333,64.22222222222223,2685,2271,76.71428571428571,64.88571428571429,891,1898,0.469,278,714,0.389,440,616,0.7140000000000001,20.24,114.6,38,94.4,13,68.4,167,-0.015,216,3.9,81,-3.08,254,106.6,95,102.7,75,Houston,6.0,San Diego St.,11.0,67.0,65.0,W,66.0,,,50,66.0,San Diego State,MWC,32,22,11,0.667,L1,11,7,0.611,13,2,4,7,5,2,3,2,1383,1261,76.83333333333333,70.05555555555556,2545,2240,77.12121212121212,67.87878787878788,882,1913,0.461,235,693,0.33899999999999997,481,667,0.721,14.09,110.5,77,96.4,30,68.8,142,-0.032,265,3.46,86,-0.8,177,107.2,80,103.8,96
6.0,12.0,4,166.0,Cincinnati,Amer,33,31,5,0.861,L1,16,2,0.889,15,1,9,2,7,2,2,4,1294,997,71.8888888888889,55.38888888888889,2673,2071,74.25,57.52777777777778,873,1926,0.45299999999999996,244,681,0.358,486,706,0.688,26.6,113.4,49,86.8,2,64.5,330,-0.019,230,3.46,87,-4.21,294,106.9,89,103.4,90,Cincinnati,2.0,Georgia St.,15.0,68.0,53.0,W,24.0,,,101,24.0,Georgia State,SB,33,24,11,0.6859999999999999,L1,12,6,0.667,11,3,9,6,4,2,0,1,1387,1281,77.05555555555556,71.16666666666667,2614,2356,74.68571428571428,67.31428571428572,891,1924,0.46299999999999997,307,795,0.386,398,592,0.672,6.92,108.8,102,101.9,110,66.8,246,-0.015,218,-2.51,207,-3.22,263,103.4,229,105.9,186
6.0,12.0,4,166.0,Cincinnati,Amer,33,31,5,0.861,L1,16,2,0.889,15,1,9,2,7,2,2,4,1294,997,71.8888888888889,55.38888888888889,2673,2071,74.25,57.52777777777778,873,1926,0.45299999999999996,244,681,0.358,486,706,0.688,26.6,113.4,49,86.8,2,64.5,330,-0.019,230,3.46,87,-4.21,294,106.9,89,103.4,90,Cincinnati,2.0,Nevada,7.0,73.0,75.0,L,69.0,24.0,,25,69.0,Nevada,MWC,34,29,8,0.784,L1,15,3,0.833,14,1,12,3,3,4,1,1,1522,1346,84.55555555555556,74.77777777777777,3055,2703,82.56756756756756,73.05405405405405,963,2056,0.46799999999999997,330,830,0.39799999999999996,569,762,0.747,18.39,120.2,7,101.8,108,69.4,105,-0.026000000000000002,255,5.13,74,3.61,67,107.0,87,101.8,63
,,68,261.0,St. Bonaventure,A10,32,26,8,0.765,L1,14,4,0.778,13,1,9,4,4,3,1,1,1434,1330,79.66666666666667,73.8888888888889,2620,2407,77.05882352941177,70.79411764705883,844,1851,0.456,248,623,0.39799999999999996,557,739,0.754,11.21,110.8,74,99.5,74,69.4,104,0.078,21,2.8,94,1.17,127,107.0,86,104.2,111,St. Bonaventure,11.0,UCLA,11.0,65.0,58.0,W,238.0,,21.0,56,238.0,UCLA,P12,32,21,12,0.636,L2,11,7,0.611,14,2,3,7,4,3,2,2,1472,1374,81.77777777777777,76.33333333333333,2679,2507,81.18181818181819,75.96969696969697,906,1964,0.461,300,783,0.38299999999999995,509,705,0.722,13.52,115.0,31,101.4,103,70.3,70,-0.027000000000000003,257,6.42,63,2.93,81,108.1,72,101.7,60
,,68,261.0,St. Bonaventure,A10,32,26,8,0.765,L1,14,4,0.778,13,1,9,4,4,3,1,1,1434,1330,79.66666666666667,73.8888888888889,2620,2407,77.05882352941177,70.79411764705883,844,1851,0.456,248,623,0.39799999999999996,557,739,0.754,11.21,110.8,74,99.5,74,69.4,104,0.078,21,2.8,94,1.17,127,107.0,86,104.2,111,St. Bonaventure,11.0,Florida,6.0,62.0,77.0,L,218.0,,,159,218.0,Weber State,BSky,31,20,11,0.645,L1,13,5,0.722,12,3,7,4,1,4,0,0,1439,1315,79.94444444444444,73.05555555555556,2434,2195,78.51612903225806,70.80645161290323,846,1722,0.491,280,672,0.41700000000000004,462,603,0.7659999999999999,0.88,106.7,138,105.8,186,67.5,209,0.037000000000000005,87,-2.94,225,-0.23,164,103.9,197,106.8,248
,,43,280.0,Davidson,A10,31,21,12,0.636,L1,13,5,0.722,11,2,6,8,4,2,2,4,1356,1161,75.33333333333333,64.5,2519,2240,76.33333333333333,67.87878787878788,856,1763,0.486,336,856,0.39299999999999996,340,428,0.794,14.7,117.0,16,102.3,120,64.5,332,-0.063,318,2.11,104,1.33,121,105.6,116,103.5,91,Davidson,12.0,Kentucky,5.0,73.0,78.0,L,180.0,,,103,180.0,Iowa State,B12,31,13,18,0.419,L7,4,14,0.222,9,7,0,10,4,1,3,6,1318,1440,73.22222222222223,80.0,2258,2339,72.83870967741936,75.45161290322581,817,1870,0.4370000000000001,234,653,0.358,390,557,0.7,6.58,109.9,81,103.4,143,68.9,130,-0.009000000000000001,200,10.71,14,-3.06,251,110.5,29,99.7,9
