STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"Cincinnati
C",16,2,0.889,1294,997,31,5,0.861,2673,2071,L1,71.8888888888889,55.38888888888889,74.25,57.52777777777778,15,1,9,2,7,2,2,4,166
"Houston
HOU",14,4,0.778,1365,1156,27,8,0.7709999999999999,2685,2271,L1,75.83333333333333,64.22222222222223,76.71428571428571,64.88571428571429,15,0,7,5,5,3,3,4,130
"Wichita State
WICHS",14,4,0.778,1464,1275,25,8,0.758,2731,2364,L2,81.33333333333333,70.83333333333333,82.75757575757575,71.63636363636364,13,3,9,2,3,3,2,3,148
"Tulsa
TULS",12,6,0.667,1302,1250,19,12,0.613,2277,2197,L1,72.33333333333333,69.44444444444444,73.45161290322581,70.87096774193549,13,2,5,7,1,3,0,3,210
"Memphis
MEM",10,8,0.556,1276,1304,21,13,0.618,2408,2420,L1,70.8888888888889,72.44444444444444,70.82352941176471,71.17647058823529,14,5,5,5,2,3,1,4,211
"UCF
UCF",9,9,0.5,1074,1087,19,13,0.594,2007,1975,L1,59.66666666666666,60.38888888888889,62.71875,61.71875,12,4,5,6,2,3,1,6,296
"Temple
TEM",8,10,0.444,1235,1265,17,16,0.515,2308,2326,L2,68.6111111111111,70.27777777777777,69.93939393939394,70.48484848484848,8,5,4,9,5,2,1,5,302
"Connecticut
UC",7,11,0.389,1207,1302,14,18,0.43799999999999994,2181,2340,L2,67.05555555555556,72.33333333333333,68.15625,73.125,11,5,2,9,1,4,0,8,271
"SMU
SMU",6,12,0.33299999999999996,1164,1186,17,16,0.515,2293,2114,L1,64.66666666666667,65.8888888888889,69.48484848484848,64.06060606060606,13,5,2,8,2,3,3,6,170
"Tulane
TU",5,13,0.278,1264,1363,14,17,0.452,2269,2296,L3,70.22222222222223,75.72222222222223,73.19354838709677,74.06451612903227,9,7,3,8,2,2,0,3,284
"East Carolina
ECU",4,14,0.222,1180,1415,10,20,0.33299999999999996,1993,2248,L6,65.55555555555556,78.6111111111111,66.43333333333334,74.93333333333334,8,11,2,8,0,1,0,3,244
"South Florida
USF",3,15,0.16699999999999998,1091,1316,10,22,0.313,2026,2260,L1,60.611111111111114,73.1111111111111,63.3125,70.625,7,11,3,10,0,1,0,2,319
