STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Xavier,15,3,0.833,1491,1415,29,6,0.8290000000000001,2953,2616,L1,82.83333333333333,78.6111111111111,84.37142857142857,74.74285714285716,17,1,10,2,2,3,4,2,195
Villanova,14,4,0.778,1584,1374,36,4,0.9,3463,2807,W11,88.0,76.33333333333333,86.575,70.175,12,1,9,3,15,0,7,0,208
Seton Hall,10,8,0.556,1407,1398,22,12,0.647,2701,2512,L1,78.16666666666667,77.66666666666667,79.44117647058823,73.88235294117645,14,3,5,6,3,3,3,5,117
Creighton,10,8,0.556,1427,1398,21,12,0.636,2756,2444,L3,79.27777777777777,77.66666666666667,83.51515151515152,74.06060606060606,16,2,4,7,1,3,4,6,38
Providence,10,8,0.556,1310,1342,21,14,0.6,2575,2544,L2,72.77777777777777,74.55555555555556,73.57142857142857,72.68571428571428,13,4,4,7,4,3,3,5,125
Marquette,9,9,0.5,1460,1466,21,14,0.6,2846,2748,L1,81.1111111111111,81.44444444444444,81.31428571428572,78.51428571428572,13,7,5,5,3,2,1,7,33
Butler,9,9,0.5,1458,1384,21,14,0.6,2763,2540,L1,81.0,76.8888888888889,78.94285714285714,72.57142857142857,14,3,3,7,4,4,1,8,167
Georgetown,5,13,0.278,1374,1494,15,15,0.5,2350,2294,L5,76.33333333333333,83.0,78.33333333333333,76.46666666666667,11,8,4,7,0,0,0,5,35
St John's,4,14,0.222,1292,1401,16,17,0.485,2412,2397,L1,71.77777777777777,77.83333333333333,73.0909090909091,72.63636363636364,10,8,2,7,4,2,2,6,59
DePaul,4,14,0.222,1272,1403,11,20,0.355,2230,2289,L3,70.66666666666667,77.94444444444444,71.93548387096773,73.83870967741936,6,10,4,7,1,3,0,6,126
