STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Montana,16,2,0.889,1447,1207,26,8,0.765,2625,2329,L1,80.3888888888889,67.05555555555556,77.20588235294117,68.5,14,0,8,6,4,2,0,1,304
Idaho,14,4,0.778,1379,1278,22,9,0.71,2330,2134,L1,76.6111111111111,71.0,75.16129032258064,68.83870967741936,11,2,9,4,2,3,0,0,325
Weber State,13,5,0.722,1439,1315,20,11,0.645,2434,2195,L1,79.94444444444444,73.05555555555556,78.51612903225806,70.80645161290323,12,3,7,4,1,4,0,0,218
E Washington,13,5,0.722,1356,1245,20,15,0.5710000000000001,2619,2520,L2,75.33333333333333,69.16666666666667,74.82857142857142,72.0,11,1,6,12,3,2,0,0,138
Northern Colorado,11,7,0.611,1469,1372,26,12,0.684,3082,2772,W4,81.6111111111111,76.22222222222223,81.10526315789474,72.94736842105263,14,3,7,8,5,1,0,0,293
Portland State,9,9,0.5,1473,1476,20,14,0.588,2897,2698,L2,81.83333333333333,82.0,85.20588235294117,79.3529411764706,8,5,10,6,2,3,0,1,17
Idaho State,9,9,0.5,1352,1364,14,16,0.467,2211,2232,L2,75.1111111111111,75.77777777777777,73.7,74.4,9,5,5,10,0,1,0,0,334
Montana State,6,12,0.33299999999999996,1369,1469,13,19,0.406,2434,2524,L7,76.05555555555556,81.6111111111111,76.0625,78.875,8,6,3,12,2,1,0,0,265
North Dakota,6,12,0.33299999999999996,1349,1460,12,20,0.375,2427,2612,L1,74.94444444444444,81.1111111111111,75.84375,81.625,7,6,2,13,3,1,0,1,21
Southern Utah,5,13,0.278,1297,1429,13,19,0.406,2416,2583,L1,72.05555555555556,79.3888888888889,75.5,80.71875,9,5,2,13,2,1,0,1,278
Sacramento State,4,14,0.222,1250,1354,7,25,0.21899999999999997,2157,2358,L1,69.44444444444444,75.22222222222223,67.40625,73.6875,6,7,1,13,0,5,0,0,341
Northern Arizona,2,16,0.111,1184,1395,5,27,0.156,2100,2512,L4,65.77777777777777,77.5,65.625,78.5,2,10,3,14,0,3,0,1,326
