STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
UNC Asheville,13,5,0.722,1356,1316,21,13,0.618,2557,2499,L2,75.33333333333333,73.1111111111111,75.20588235294117,73.5,14,2,7,10,0,1,0,0,144
Radford,12,6,0.667,1245,1156,23,13,0.639,2422,2336,L1,69.16666666666667,64.22222222222223,67.27777777777777,64.8888888888889,11,2,7,10,5,1,0,1,237
Winthrop,12,6,0.667,1392,1249,19,12,0.613,2464,2219,L1,77.33333333333333,69.3888888888889,79.48387096774194,71.5806451612903,11,3,7,8,1,1,0,0,10
Campbell,10,8,0.556,1287,1250,18,16,0.529,2581,2412,L1,71.5,69.44444444444444,75.91176470588233,70.94117647058823,14,4,4,11,0,1,0,0,151
Liberty,9,9,0.5,1222,1185,22,15,0.595,2621,2353,L1,67.8888888888889,65.83333333333333,70.83783783783784,63.594594594594604,13,8,7,6,2,1,0,0,198
Charleston So,9,9,0.5,1248,1231,15,16,0.484,2232,2133,L1,69.33333333333333,68.3888888888889,72.0,68.80645161290322,9,6,6,10,0,0,0,1,234
High Point,9,9,0.5,1225,1198,14,16,0.467,2126,1993,L2,68.05555555555556,66.55555555555556,70.86666666666666,66.43333333333334,11,4,3,11,0,1,0,0,253
Gardner-Webb,9,9,0.5,1200,1227,14,18,0.43799999999999994,2258,2307,L1,66.66666666666667,68.16666666666667,70.5625,72.09375,11,2,3,13,0,3,0,2,289
Presbyterian,4,14,0.222,1103,1257,11,21,0.344,2124,2273,L4,61.27777777777778,69.83333333333333,66.375,71.03125,8,7,2,13,1,1,0,0,224
Longwood,3,15,0.16699999999999998,1130,1339,7,26,0.212,2088,2445,L1,62.77777777777778,74.3888888888889,63.27272727272727,74.0909090909091,5,11,2,13,0,2,0,1,199
