STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"Middle Tennessee
MIDT",16,2,0.889,1325,1131,25,8,0.758,2479,2188,L1,73.6111111111111,62.83333333333334,75.12121212121212,66.3030303030303,12,2,12,2,1,4,0,1,112
"Old Dominion
ODU",15,3,0.833,1363,1163,25,7,0.7809999999999999,2347,2010,L1,75.72222222222223,64.6111111111111,73.34375,62.8125,12,2,10,3,3,2,0,0,275
"Western Kentucky
WKU",14,4,0.778,1433,1298,27,11,0.711,2979,2674,L1,79.6111111111111,72.1111111111111,78.39473684210526,70.36842105263158,14,3,9,5,4,3,1,2,98
"Marshall
MA",12,6,0.667,1458,1383,25,11,0.6940000000000001,3017,2849,L1,81.0,76.83333333333333,83.80555555555556,79.1388888888889,15,2,6,8,4,1,2,2,73
"UTSA
UTSA",11,7,0.611,1310,1313,20,15,0.5710000000000001,2740,2628,L1,72.77777777777777,72.94444444444444,78.28571428571429,75.08571428571429,12,4,6,8,2,3,0,0,30
"UAB
UAB",10,8,0.556,1322,1254,20,13,0.606,2536,2303,L1,73.44444444444444,69.66666666666667,76.84848484848484,69.78787878787878,14,3,5,6,1,4,0,1,250
"North Texas
UNT",8,10,0.444,1267,1273,20,18,0.526,2828,2703,W2,70.3888888888889,70.72222222222223,74.42105263157895,71.13157894736842,14,6,6,11,0,1,0,0,62
"FIU
FIU",8,10,0.444,1238,1284,14,18,0.43799999999999994,2262,2278,L2,68.77777777777777,71.33333333333333,70.6875,71.1875,10,7,3,9,1,2,0,0,14
"Louisiana Tech
LATE",7,11,0.389,1279,1291,17,16,0.515,2468,2331,L1,71.05555555555556,71.72222222222223,74.78787878787878,70.63636363636364,11,5,1,10,5,1,0,1,115
"Southern Miss
SMISS",7,11,0.389,1256,1346,16,18,0.47100000000000003,2401,2449,L1,69.77777777777777,74.77777777777777,70.61764705882355,72.02941176470588,11,3,2,11,3,4,0,1,206
"Florida Atlantic
FAU",6,12,0.33299999999999996,1185,1244,12,19,0.387,2155,2172,L3,65.83333333333333,69.1111111111111,69.51612903225806,70.06451612903226,7,7,4,9,1,3,0,1,108
"UTEP
UTEP",6,12,0.33299999999999996,1221,1314,11,20,0.355,2094,2197,L1,67.83333333333333,73.0,67.54838709677419,70.87096774193549,9,8,2,8,0,4,0,0,172
"Rice
RICE",4,14,0.222,1244,1371,7,24,0.226,2114,2347,L1,69.1111111111111,76.16666666666667,68.19354838709678,75.70967741935483,5,10,2,12,0,2,0,1,55
"Charlotte
CHA",2,16,0.111,1256,1492,6,23,0.207,2066,2317,W1,69.77777777777777,82.8888888888889,71.24137931034483,79.89655172413794,4,11,2,12,0,0,0,0,312
