STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Northern Kentucky,15,3,0.833,1371,1168,22,10,0.688,2486,2112,L2,76.16666666666667,64.8888888888889,77.6875,66.0,12,2,8,6,2,2,0,1,41
"Wright State
WRI",14,4,0.778,1327,1203,25,10,0.7140000000000001,2500,2307,L1,73.72222222222223,66.83333333333333,71.42857142857143,65.91428571428571,14,2,8,7,3,1,0,1,3
"UIC
UIC",12,6,0.667,1411,1348,20,16,0.556,2708,2597,L1,78.3888888888889,74.8888888888889,75.22222222222223,72.1388888888889,11,7,9,8,0,1,0,1,142
Oakland,10,8,0.556,1425,1371,19,14,0.5760000000000001,2580,2516,L1,79.16666666666667,76.16666666666667,78.18181818181819,76.24242424242425,11,4,7,8,1,2,0,2,216
"Milwaukee
U",8,10,0.444,1258,1259,16,17,0.485,2259,2260,L1,69.8888888888889,69.94444444444444,68.45454545454545,68.48484848484848,9,7,6,9,1,1,0,0,84
"IUPUI
IUPUI",8,10,0.444,1218,1276,11,19,0.36700000000000005,2047,2180,L2,67.66666666666667,70.8888888888889,68.23333333333333,72.66666666666667,9,4,2,14,0,1,0,2,113
"Green Bay
U",7,11,0.389,1387,1405,13,20,0.39399999999999996,2517,2499,L1,77.05555555555556,78.05555555555556,76.27272727272727,75.72727272727273,10,6,2,13,1,1,0,0,4
"Cleveland State
C",6,12,0.33299999999999996,1268,1380,12,23,0.34299999999999997,2402,2613,L1,70.44444444444444,76.66666666666667,68.62857142857143,74.65714285714286,7,7,2,15,3,1,0,2,228
"Youngstown State
YSU",6,12,0.33299999999999996,1367,1478,8,24,0.25,2410,2647,L4,75.94444444444444,82.1111111111111,75.3125,82.71875,6,6,2,13,0,5,0,0,70
Detroit,4,14,0.222,1338,1482,8,24,0.25,2516,2743,L4,74.33333333333333,82.33333333333333,78.625,85.71875,5,10,2,11,1,3,0,0,102
