STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Toledo,13,5,0.722,1469,1337,23,11,0.6759999999999999,2687,2532,L1,81.6111111111111,74.27777777777777,79.02941176470588,74.47058823529412,12,4,9,6,2,1,0,1,82
Eastern Michigan,11,7,0.611,1225,1177,22,13,0.629,2509,2339,L1,68.05555555555556,65.3888888888889,71.68571428571428,66.82857142857142,14,3,7,9,1,1,0,0,301
Ball State,10,8,0.556,1318,1316,19,13,0.594,2410,2362,L4,73.22222222222223,73.1111111111111,75.3125,73.8125,14,2,5,10,0,1,1,0,260
Western Michigan,9,9,0.5,1334,1343,17,15,0.531,2402,2349,L3,74.1111111111111,74.6111111111111,75.0625,73.40625,10,6,6,6,1,3,0,0,332
Central Michigan,7,11,0.389,1387,1378,21,15,0.583,2835,2661,L1,77.05555555555556,76.55555555555556,78.75,73.91666666666667,11,5,6,9,4,1,0,0,68
Northern Illinois,6,12,0.33299999999999996,1271,1389,13,19,0.406,2319,2407,L1,70.6111111111111,77.16666666666667,72.46875,75.21875,11,4,1,13,1,2,0,0,258
Buffalo,15,3,0.833,1586,1362,27,9,0.75,3047,2742,L1,88.1111111111111,75.66666666666667,84.6388888888889,76.16666666666667,14,1,8,5,5,3,1,3,20
Kent State,9,9,0.5,1319,1352,17,17,0.5,2482,2502,L1,73.27777777777777,75.1111111111111,73.0,73.58823529411767,13,3,2,11,2,3,0,1,34
Miami (OH),8,10,0.444,1276,1271,16,18,0.47100000000000003,2449,2404,L2,70.8888888888889,70.6111111111111,72.02941176470588,70.70588235294117,9,5,6,11,1,2,0,0,204
Bowling Green,7,11,0.389,1282,1363,16,16,0.5,2429,2490,L6,71.22222222222223,75.72222222222223,75.90625,77.8125,9,6,6,9,1,1,0,0,122
Ohio,7,11,0.389,1321,1378,14,17,0.452,2334,2353,L1,73.3888888888889,76.55555555555556,75.29032258064517,75.90322580645163,11,5,2,10,1,2,0,0,205
Akron,6,12,0.33299999999999996,1280,1402,14,18,0.43799999999999994,2296,2411,L1,71.1111111111111,77.8888888888889,71.75,75.34375,12,4,2,10,0,4,0,0,159
