STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Loyola (CHI),15,3,0.833,1296,1109,32,6,0.8420000000000001,2721,2377,L1,72.0,61.611111111111114,71.60526315789474,62.55263157894736,14,1,9,4,9,1,4,1,157
"Southern Illinois
SIU",11,7,0.611,1228,1254,20,13,0.606,2308,2280,L1,68.22222222222223,69.66666666666667,69.93939393939394,69.0909090909091,13,3,5,8,2,2,0,1,290
"Illinois State
I",10,8,0.556,1265,1300,18,15,0.545,2364,2418,L1,70.27777777777777,72.22222222222223,71.63636363636364,73.27272727272727,11,3,3,10,4,2,0,0,286
Drake,10,8,0.556,1259,1269,17,17,0.5,2506,2495,L1,69.94444444444444,70.5,73.70588235294117,73.38235294117645,11,3,4,11,2,3,0,0,137
Bradley,9,9,0.5,1208,1221,20,13,0.606,2223,2136,L1,67.1111111111111,67.83333333333333,67.36363636363636,64.72727272727273,13,2,4,9,3,2,0,0,90
"Indiana State
IN",8,10,0.444,1279,1280,13,18,0.419,2248,2253,L1,71.05555555555556,71.1111111111111,72.51612903225806,72.6774193548387,8,7,5,7,0,4,0,0,270
Missouri State,7,11,0.389,1208,1233,18,15,0.545,2313,2197,L1,67.1111111111111,68.5,70.0909090909091,66.57575757575758,10,5,4,8,4,2,0,0,213
"Evansville
EVN",7,11,0.389,1137,1138,17,15,0.531,2094,2045,L1,63.16666666666666,63.22222222222222,65.4375,63.90625,14,3,2,10,1,2,0,1,161
"UNI
UNI",7,11,0.389,1124,1160,16,16,0.5,2056,1990,L1,62.444444444444436,64.44444444444444,64.25,62.1875,12,4,1,9,3,3,0,3,92
Valparaiso,6,12,0.33299999999999996,1203,1243,15,17,0.469,2252,2182,L1,66.83333333333333,69.05555555555556,70.375,68.1875,10,4,3,12,2,1,0,1,76
