STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Bucknell,16,2,0.889,1438,1196,25,10,0.7140000000000001,2837,2559,L1,79.8888888888889,66.44444444444444,81.05714285714286,73.11428571428571,15,1,10,8,0,1,0,2,185
Colgate,12,6,0.667,1297,1249,19,14,0.5760000000000001,2394,2315,L2,72.05555555555556,69.3888888888889,72.54545454545455,70.15151515151516,13,3,6,11,0,0,0,0,64
Navy,11,7,0.611,1201,1165,20,12,0.625,2199,2125,L1,66.72222222222223,64.72222222222223,68.71875,66.40625,9,6,9,6,2,0,0,1,329
Lehigh,11,7,0.611,1420,1380,16,14,0.5329999999999999,2336,2333,L1,78.8888888888889,76.66666666666667,77.86666666666666,77.76666666666667,9,6,7,8,0,0,0,2,240
Boston,10,8,0.556,1251,1236,15,16,0.484,2186,2226,L1,69.5,68.66666666666667,70.51612903225806,71.80645161290323,6,7,9,9,0,0,0,1,135
Holy Cross,8,10,0.444,1137,1183,12,19,0.387,1972,2099,L1,63.16666666666666,65.72222222222223,63.612903225806456,67.70967741935483,6,7,6,10,0,2,0,0,191
Lafayette,7,11,0.389,1313,1321,10,21,0.32299999999999995,2207,2307,L1,72.94444444444444,73.3888888888889,71.19354838709677,74.4193548387097,8,6,2,14,0,1,0,1,243
Army,6,12,0.33299999999999996,1268,1350,13,17,0.433,2230,2223,L7,70.44444444444444,75.0,74.33333333333333,74.1,6,5,4,12,3,0,0,0,268
Loyola (MD),6,12,0.33299999999999996,1213,1336,9,22,0.29,2154,2326,L1,67.3888888888889,74.22222222222223,69.48387096774194,75.03225806451613,8,6,1,16,0,0,0,1,110
American,3,15,0.16699999999999998,1157,1279,6,24,0.2,1961,2215,L4,64.27777777777777,71.05555555555556,65.36666666666666,73.83333333333333,4,8,2,16,0,0,0,1,257
