STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"Grambling State
GRAMB",13,5,0.722,1342,1273,17,14,0.5479999999999999,2257,2321,W2,74.55555555555556,70.72222222222223,72.80645161290323,74.87096774193549,6,4,11,10,0,0,0,0,153
"Prairie View A&M
PVAMU",12,6,0.667,1421,1340,16,18,0.47100000000000003,2559,2609,L1,78.94444444444444,74.44444444444444,75.26470588235293,76.73529411764707,9,2,5,15,2,1,0,1,267
"Texas Southern
TEXSOU",12,6,0.667,1464,1372,16,20,0.444,2787,2859,L1,81.33333333333333,76.22222222222223,77.41666666666667,79.41666666666667,8,2,5,17,3,1,0,5,273
"UAPB
UAPB",12,6,0.667,1269,1193,14,21,0.4,2307,2499,L1,70.5,66.27777777777777,65.91428571428571,71.4,7,3,6,13,1,5,0,1,353
"Southern U
SOU",10,8,0.556,1254,1225,15,18,0.455,2279,2369,L1,69.66666666666667,68.05555555555556,69.06060606060606,71.78787878787878,11,3,4,14,0,1,0,2,264
"Jackson State
JA",9,9,0.5,1149,1179,12,20,0.375,1991,2161,L3,63.83333333333334,65.5,62.21875,67.53125,9,2,2,17,1,1,0,0,294
"Alabama State
A",8,10,0.444,1284,1310,8,23,0.258,2129,2437,L2,71.33333333333333,72.77777777777777,68.6774193548387,78.61290322580646,4,7,4,13,0,3,0,1,336
"Alcorn State
A",7,11,0.389,1261,1271,11,21,0.344,2244,2388,L3,70.05555555555556,70.6111111111111,70.125,74.625,9,5,2,16,0,0,0,1,209
"Miss Valley State
MVSU",4,14,0.222,1265,1382,4,28,0.125,2075,2500,L2,70.27777777777777,76.77777777777777,64.84375,78.125,3,6,1,21,0,1,0,0,345
"Alabama A&M
AAMU",3,15,0.16699999999999998,1115,1279,3,28,0.09699999999999999,1873,2367,W1,61.944444444444436,71.05555555555556,60.41935483870968,76.35483870967742,2,9,1,18,0,1,0,1,342
