STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Louisiana,16,2,0.889,1482,1235,27,7,0.794,2829,2408,L2,82.33333333333333,68.6111111111111,83.20588235294117,70.82352941176471,14,1,10,4,3,2,0,0,150
Georgia State,12,6,0.667,1387,1281,24,11,0.6859999999999999,2614,2356,L1,77.05555555555556,71.16666666666667,74.68571428571428,67.31428571428572,11,3,9,6,4,2,0,1,24
Ga Southern,11,7,0.611,1353,1313,21,12,0.636,2504,2315,L1,75.16666666666667,72.94444444444444,75.87878787878788,70.15151515151516,10,3,8,7,3,2,0,0,53
UT Arlington,10,8,0.556,1403,1383,21,13,0.618,2640,2500,L1,77.94444444444444,76.83333333333333,77.6470588235294,73.52941176470588,13,2,5,10,3,1,0,2,123
UL Monroe,9,9,0.5,1233,1280,16,16,0.5,2235,2187,L2,68.5,71.1111111111111,69.84375,68.34375,12,4,3,11,1,1,0,0,327
Troy,9,9,0.5,1339,1316,16,17,0.485,2475,2408,L1,74.3888888888889,73.1111111111111,75.0,72.96969696969697,10,4,4,10,2,3,0,1,83
Appalachian State,9,9,0.5,1275,1302,15,18,0.455,2520,2448,L1,70.83333333333333,72.33333333333333,76.36363636363636,74.18181818181819,9,4,4,11,2,3,0,0,188
Coastal Carolina,8,10,0.444,1222,1247,14,18,0.43799999999999994,2298,2241,L2,67.8888888888889,69.27777777777777,71.8125,70.03125,7,9,5,7,2,2,0,0,25
Texas State,7,11,0.389,1132,1203,15,18,0.455,2190,2172,L1,62.88888888888889,66.83333333333333,66.36363636363636,65.81818181818181,7,7,6,9,2,2,0,0,99
South Alabama,7,11,0.389,1281,1332,14,18,0.43799999999999994,2228,2218,L6,71.16666666666667,74.0,69.625,69.3125,11,4,1,13,2,1,0,0,61
Arkansas State,6,12,0.33299999999999996,1330,1448,11,21,0.344,2369,2523,L1,73.8888888888889,80.44444444444444,74.03125,78.84375,7,7,4,13,0,1,0,1,75
Little Rock,4,14,0.222,1162,1259,7,25,0.21899999999999997,2038,2242,L1,64.55555555555556,69.94444444444444,63.6875,70.0625,5,10,2,14,0,1,0,0,86
