AP19_Rnk,AP19_Team,AP19_W,AP19_L,TeamID
1,Duke,29,5,27
2,Virginia,29,3,349
3,North Carolina,27,6,281
4,Gonzaga,30,3,1
5,Michigan State,28,6,78
6,Tennessee,29,5,318
7,Kentucky,27,6,190
8,Michigan,28,6,160
9,Texas Tech,26,6,242
10,Florida State,27,7,193
11,Houston,31,3,130
12,LSU,26,6,109
13,Purdue,23,9,203
14,Auburn,26,9,129
15,Buffalo,31,3,20
16,Virginia Tech,24,8,182
17,Kansas,25,9,169
18,Kansas State,25,8,323
19,Wofford,29,4,103
20,Nevada,29,4,69
21,Wisconsin,23,10,222
22,Cincinnati,28,6,166
23,Villanova,25,9,208
24,Iowa State,23,11,180
25,Utah State,28,6,7
