AP19_Rnk,PS19_Rnk,KP19_Rank,TeamID,TS19_Team,KP19_Conference,TS19_GP,STA19_W,STA19_L,STA19_Pct,STA19_Strk,STA19_Conf_W,STA19_Conf_L,STA19_Conf_Pct,STA19_Home_W,STA19_Home_L,STA19_Away_W,STA19_Away_L,STA19_Neutral_W,STA19_Neutral_L,STA19_Top25_W,STA19_Top25_L,STA19_Conf_PF,STA19_Conf_PA,STA19_Conf_PPG,STA19_Conf_PAPG,STA19_PF,STA19_PA,STA19_PPG,STA19_PAPG,TS19_FGM,TS19_FGA,TS19_FG%,TS19_3PM,TS19_3PA,TS19_3P%,TS19_FTM,TS19_FTA,TS19_FT%,KP19_Ajusted Efficiency Margin,KP19_Adjusted Offensive Efficiency,KP19_AOE Rk,KP19_Adjusted Defensive Efficiency,KP19_ADE Rk,KP19_Adjusted Tempo,KP19_AT Rk,KP19_Luck,KP19_Luck Rk,KP19_Strength of Schedule,KP19_SOS Rk,KP19_Non-Conference Strength of Schedule,KP19_NCSOS Rk,KP19_Average Opponents Offensive Efficiency,KP19_AOOE Rk,KP19_Average Opponents Defensive Efficiency,KP19_AODE Rk
,,194,221.0,Hartford,AE,33,18,15,0.545,L1,10,6,0.625,10,4,8,9,0,2,0,2,0,0,0.0,0.0,2477,2407,75.06060606060606,72.93939393939394,848,1863,0.455,322,846,0.381,459,619,0.742,-2.32,108.5,95,110.8,297,66.7,228,-0.008,205,-5.42,279,0.53,139,101.3,291,106.7,245
,,258,52.0,UMass Lowell,AE,32,15,17,0.469,L2,7,9,0.438,8,5,5,12,2,0,0,0,0,0,0.0,0.0,2456,2420,76.75,75.625,875,1852,0.472,246,721,0.341,460,639,0.72,-7.86,104.5,174,112.4,317,69.8,74,-0.026,249,-6.57,298,-4.46,289,100.1,325,106.7,244
,,76,168.0,Vermont,AE,33,27,7,0.794,L1,14,2,0.875,16,2,11,4,0,1,0,2,0,0,0.0,0.0,2508,2143,73.76470588235293,63.029411764705884,841,1834,0.459,257,729,0.353,500,665,0.752,8.86,108.5,97,99.6,88,65.5,285,0.043,77,-5.55,281,3.2,85,100.7,311,106.2,221
,,230,162.0,UMBC,AE,34,21,13,0.618,L1,11,5,0.688,13,4,6,8,2,1,0,0,0,0,0.0,0.0,2296,2177,67.52941176470588,64.02941176470588,820,1893,0.433,261,807,0.32299999999999995,395,573,0.6890000000000001,-5.75,96.2,313,102.0,119,65.0,311,0.078,24,-7.09,310,-4.48,291,100.2,322,107.3,275
,,166,67.0,Stony Brook,AE,32,24,9,0.727,L2,12,4,0.75,10,4,13,4,1,1,0,0,0,0,0.0,0.0,2364,2188,71.63636363636364,66.3030303030303,790,1872,0.422,224,687,0.326,481,671,0.7170000000000001,-0.42,99.5,271,99.9,95,69.3,90,0.058,48,-6.81,303,-3.31,257,100.2,321,107.0,265
,,332,214.0,Binghamton,AE,33,10,23,0.303,L1,5,11,0.313,5,11,5,12,0,0,0,1,0,0,0.0,0.0,2152,2376,65.21212121212122,72.0,793,1842,0.431,275,788,0.349,291,451,0.645,-16.74,96.1,316,112.9,322,65.8,273,0.003,175,-4.87,272,-3.26,256,100.7,310,105.6,196
,,279,164.0,Albany,AE,32,12,20,0.375,L1,7,9,0.438,6,8,6,10,0,2,0,0,0,0,0.0,0.0,2150,2216,67.1875,69.25,728,1750,0.416,274,790,0.34700000000000003,420,564,0.745,-9.86,98.4,285,108.3,253,65.9,270,-0.066,319,-7.01,307,-5.46,311,100.2,324,107.2,272
,,338,300.0,Maine,AE,32,5,27,0.156,L9,3,13,0.188,3,9,2,18,0,0,0,0,0,0,0.0,0.0,1988,2271,62.125,70.96875,747,1728,0.4320000000000001,201,647,0.311,293,452,0.648,-18.68,93.3,335,111.9,311,64.0,329,-0.058,306,-3.05,222,1.22,119,102.1,273,105.1,188
,,345,277.0,New Hampshire,AE,29,5,24,0.172,W1,3,13,0.188,4,10,1,14,0,0,0,0,0,0,0.0,0.0,1742,1990,60.06896551724138,68.6206896551724,623,1656,0.376,261,787,0.332,235,385,0.61,-23.05,84.4,353,107.5,237,65.6,283,-0.015,225,-6.31,294,-4.9,298,101.5,284,107.9,308
,,56,211.0,Memphis,Amer,34,22,14,0.611,L1,11,7,0.611,16,2,3,8,3,4,0,7,0,0,0.0,0.0,2882,2680,80.05555555555556,74.44444444444444,958,2119,0.452,252,775,0.325,573,806,0.711,11.78,109.2,81,97.4,54,74.2,7,-0.032,258,4.41,77,0.01,162,106.0,86,101.6,65
11.0,,12,130.0,Houston,Amer,33,33,4,0.892,L1,16,2,0.889,19,1,10,1,4,2,3,2,0,0,0.0,0.0,2787,2258,75.32432432432431,61.02702702702703,883,1968,0.449,305,838,0.364,443,629,0.7040000000000001,24.13,115.3,19,91.2,11,66.1,260,0.039,86,4.45,76,-4.16,283,105.7,92,101.3,62
,,98,271.0,UConn,Amer,33,16,17,0.485,L1,6,12,0.333,13,5,1,8,2,4,1,3,0,0,0.0,0.0,2436,2354,73.81818181818181,71.33333333333333,874,1959,0.446,252,732,0.344,436,641,0.68,6.78,109.0,85,102.2,129,68.6,122,-0.07,323,3.79,79,-5.7,318,105.6,98,101.8,67
,,69,302.0,Temple,Amer,32,23,10,0.6970000000000001,L2,13,5,0.722,13,2,8,5,2,3,2,2,0,0,0.0,0.0,2465,2358,74.6969696969697,71.45454545454545,845,1927,0.439,240,726,0.331,465,636,0.731,9.72,109.2,80,99.5,85,68.9,110,0.064,35,4.55,74,-1.07,188,106.3,77,101.8,68
22.0,,29,166.0,Cincinnati,Amer,33,28,7,0.8,L1,14,4,0.778,16,2,7,4,5,1,1,4,0,0,0.0,0.0,2510,2194,71.71428571428571,62.68571428571428,822,1903,0.4320000000000001,220,629,0.35,505,719,0.7020000000000001,17.5,112.3,42,94.8,28,63.4,338,0.05,64,5.12,67,-2.85,243,107.1,66,102.0,73
,,66,148.0,Wichita State,Amer,33,22,15,0.595,L1,10,8,0.556,11,4,7,7,4,4,0,2,0,0,0.0,0.0,2609,2542,70.51351351351352,68.70270270270271,828,2037,0.406,247,797,0.31,430,592,0.726,10.1,106.6,135,96.5,44,68.3,142,0.036000000000000004,90,6.24,59,3.07,90,107.0,68,100.7,54
,,99,319.0,South Florida,Amer,32,24,14,0.632,W1,8,10,0.444,18,5,5,7,1,2,0,2,0,0,0.0,0.0,2752,2553,72.42105263157895,67.1842105263158,761,1774,0.429,221,677,0.326,569,887,0.6409999999999999,6.63,102.6,208,95.9,37,67.5,184,-0.024,244,0.44,128,-7.43,335,104.9,133,104.4,155
,,107,170.0,SMU,Amer,32,15,17,0.469,L1,6,12,0.333,10,8,3,7,2,2,0,4,0,0,0.0,0.0,2303,2249,71.96875,70.28125,833,1884,0.442,263,772,0.341,374,523,0.715,5.98,112.7,38,106.7,221,65.0,310,-0.07,322,3.48,83,-5.79,319,105.3,116,101.8,69
,,119,210.0,Tulsa,Amer,32,18,14,0.563,L2,8,10,0.444,14,3,3,8,1,3,1,3,0,0,0.0,0.0,2296,2271,71.75,70.96875,776,1732,0.448,222,652,0.34,522,751,0.695,4.94,105.4,158,100.4,100,68.8,114,0.04,82,3.45,84,-2.97,248,105.8,91,102.4,85
,,34,296.0,UCF,Amer,31,24,9,0.727,L1,13,5,0.722,15,2,5,5,4,2,2,2,0,0,0.0,0.0,2385,2128,72.27272727272727,64.48484848484848,765,1652,0.463,211,596,0.354,495,767,0.645,16.51,112.1,44,95.6,33,65.0,309,0.011,152,4.99,69,-3.71,264,105.9,90,100.9,57
,,264,244.0,East Carolina,Amer,31,10,21,0.32299999999999995,L5,3,15,0.16699999999999998,9,9,1,11,0,1,0,2,0,0,0.0,0.0,2088,2299,67.35483870967742,74.16129032258064,749,1791,0.418,155,545,0.284,435,638,0.682,-8.24,98.7,282,106.9,227,68.1,148,-0.006,200,0.74,121,-12.17,352,103.6,189,102.8,98
,,283,284.0,Tulane,Amer,31,4,27,0.129,L21,0,18,0.0,3,12,0,10,1,5,0,2,0,0,0.0,0.0,2082,2403,67.16129032258064,77.51612903225806,733,1783,0.411,213,670,0.318,403,585,0.6890000000000001,-9.99,97.3,300,107.3,232,69.7,78,-0.042,277,3.75,80,-3.76,267,106.0,84,102.3,79
