TS19_Team,TS19_GP,TS19_PTS,TS19_FG%,TS19_3P%,TS19_FT%,TS19_FGM,TS19_FGA,TS19_3PM,TS19_3PA,TS19_FTM,TS19_FTA,TeamID
Gonzaga,33,2932,0.532,0.365,0.767,1062,1997,257,704,551,718,1
Buffalo,34,2888,0.462,0.335,0.691,1033,2234,325,969,497,719,20
Hofstra,34,2841,0.488,0.389,0.799,971,1990,301,774,598,748,19
North Carolina,33,2840,0.46399999999999997,0.365,0.742,1023,2207,289,791,505,681,281
Duke,34,2839,0.47700000000000004,0.302,0.69,1037,2173,247,818,518,751,27
Central Michigan,34,2810,0.45399999999999996,0.371,0.6729999999999999,959,2113,294,793,598,888,68
Memphis,34,2741,0.452,0.325,0.711,958,2119,252,775,573,806,211
Wofford,33,2739,0.493,0.41600000000000004,0.6990000000000001,997,2022,364,874,381,545,103
Purdue Fort Wayne,33,2728,0.48100000000000004,0.379,0.693,991,2059,360,949,386,557,91
Georgia Southern,33,2726,0.499,0.32299999999999995,0.6920000000000001,1012,2028,204,632,498,720,53
Texas Southern,34,2719,0.45,0.322,0.6659999999999999,942,2095,248,771,587,881,273
Tennessee,33,2717,0.498,0.358,0.762,991,1988,225,629,510,669,318
South Dakota State,32,2716,0.503,0.41,0.7759999999999999,957,1901,318,776,484,624,2
Austin Peay,33,2712,0.47200000000000003,0.382,0.706,973,2060,268,702,498,705,31
Belmont,31,2710,0.499,0.373,0.738,987,1976,325,871,411,557,13
Auburn,34,2701,0.449,0.376,0.71,930,2071,381,1012,460,648,129
Utah State,34,2692,0.474,0.355,0.747,940,1985,267,752,543,727,7
Northern Kentucky,34,2690,0.48100000000000004,0.366,0.665,956,1986,301,823,477,717,41
Lipscomb,32,2670,0.483,0.371,0.752,930,1926,280,755,530,705,139
Bowling Green,34,2668,0.44299999999999995,0.35700000000000004,0.67,945,2134,272,762,506,755,122
Gardner-Webb,34,2662,0.488,0.391,0.711,933,1912,272,696,524,737,289
Nevada,33,2662,0.466,0.35100000000000003,0.708,905,1944,292,831,560,791,69
New Mexico State,34,2657,0.45899999999999996,0.335,0.675,937,2041,319,952,464,687,119
Green Bay,33,2653,0.45299999999999996,0.33899999999999997,0.7040000000000001,944,2084,257,757,508,722,4
Marshall,33,2647,0.441,0.348,0.727,925,2096,332,955,465,640,73
Florida International,32,2643,0.441,0.306,0.639,933,2115,269,878,508,795,14
Iowa State,34,2633,0.47700000000000004,0.365,0.732,951,1994,288,789,443,605,180
NC State,33,2627,0.45799999999999996,0.353,0.711,964,2107,269,761,430,605,104
Weber State,33,2617,0.47600000000000003,0.364,0.746,920,1934,249,684,528,708,218
Michigan State,33,2615,0.488,0.38299999999999995,0.75,922,1889,273,712,498,664,78
East Tennessee State,33,2613,0.485,0.36,0.6659999999999999,971,2001,261,725,410,616,44
Howard,33,2612,0.434,0.364,0.722,914,2104,234,643,550,762,175
Louisiana,32,2612,0.445,0.345,0.742,901,2023,283,820,527,710,150
Montana,34,2610,0.49700000000000005,0.38,0.6890000000000001,955,1923,281,739,419,608,304
LSU,32,2604,0.462,0.32299999999999995,0.754,912,1975,219,678,561,744,109
Lamar,33,2597,0.456,0.34299999999999997,0.687,902,1976,228,664,565,823,128
UNC Greensboro,34,2585,0.457,0.345,0.6990000000000001,940,2059,263,763,442,632,79
Iowa,33,2584,0.455,0.361,0.74,862,1894,267,739,593,801,50
UL Monroe,33,2584,0.452,0.395,0.782,854,1890,330,835,546,698,327
Samford,33,2583,0.47200000000000003,0.37,0.731,921,1951,254,687,487,666,23
Murray State,31,2582,0.496,0.348,0.738,938,1890,242,695,464,629,72
UCLA,33,2580,0.457,0.355,0.633,919,2012,256,721,486,768,238
Colgate,34,2578,0.48,0.38799999999999996,0.741,930,1939,305,786,413,557,64
Jacksonville State,33,2574,0.462,0.315,0.743,953,2063,200,634,468,630,89
Pepperdine,34,2572,0.444,0.382,0.76,865,1949,313,819,529,696,45
Marquette,33,2565,0.45899999999999996,0.39299999999999996,0.759,869,1895,311,791,516,680,33
Kansas,34,2563,0.462,0.35,0.6970000000000001,928,2008,246,702,461,661,169
Eastern Kentucky,31,2562,0.424,0.327,0.7120000000000001,902,2125,272,832,486,683,74
Sacred Heart,32,2558,0.46,0.35700000000000004,0.755,885,1926,243,681,545,722,63
St. John's,33,2558,0.45399999999999996,0.361,0.725,922,2031,281,778,433,597,59
Georgetown,32,2557,0.445,0.359,0.735,869,1955,264,736,555,755,35
Appalachian State,32,2557,0.45399999999999996,0.359,0.715,880,1938,292,814,505,706,188
The Citadel,30,2553,0.447,0.344,0.736,899,2011,370,1076,385,523,94
Mississippi State,33,2552,0.47200000000000003,0.37799999999999995,0.715,911,1930,284,752,446,624,230
UC Irvine,35,2551,0.45899999999999996,0.361,0.696,945,2058,238,660,423,608,85
Prairie View A&M,34,2551,0.43799999999999994,0.311,0.6809999999999999,875,1997,210,675,591,868,267
Utah Valley,33,2548,0.485,0.385,0.725,879,1812,268,697,522,720,101
Florida State,34,2547,0.44299999999999995,0.336,0.741,879,1984,255,760,534,721,193
Long Beach State,34,2545,0.43200000000000005,0.344,0.691,877,2031,217,630,574,831,124
Bucknell,33,2534,0.45,0.35100000000000003,0.7490000000000001,867,1928,311,885,489,653,185
Hampton,31,2533,0.434,0.344,0.782,860,1983,263,764,548,701,71
Kentucky,33,2532,0.478,0.364,0.74,878,1835,199,547,577,780,190
Villanova,34,2532,0.439,0.353,0.727,840,1912,361,1023,491,675,208
Oakland,33,2532,0.46399999999999997,0.385,0.742,863,1858,314,816,492,663,216
San Diego,35,2531,0.45899999999999996,0.349,0.746,892,1942,274,784,473,634,140
BYU,32,2527,0.46799999999999997,0.33,0.727,878,1878,226,684,545,750,6
Omaha,32,2523,0.475,0.392,0.721,950,1998,282,719,341,473,46
Creighton,32,2520,0.48200000000000004,0.39399999999999996,0.685,901,1870,348,883,370,540,38
USC,33,2518,0.46,0.382,0.645,937,2039,281,735,363,563,152
CSU Northridge,33,2517,0.462,0.366,0.637,936,2025,227,620,418,656,29
Liberty,34,2516,0.49,0.36700000000000005,0.7709999999999999,921,1878,300,817,374,485,198
UNC Wilmington,33,2515,0.44299999999999995,0.349,0.733,880,1986,260,744,493,673,87
Houston,33,2514,0.449,0.364,0.7040000000000001,883,1968,305,838,443,629,130
Presbyterian,32,2514,0.45,0.38,0.738,860,1912,347,912,447,606,224
Norfolk State,34,2512,0.439,0.369,0.715,849,1935,263,713,551,771,246
Northeastern,33,2511,0.48200000000000004,0.38799999999999996,0.7509999999999999,864,1791,322,830,461,614,88
Northern Illinois,34,2506,0.47100000000000003,0.35700000000000004,0.731,940,1995,229,642,397,543,258
Montana State,32,2502,0.456,0.374,0.737,858,1882,306,818,480,651,265
Winthrop,30,2499,0.455,0.373,0.738,855,1878,372,997,417,565,10
Grand Canyon,33,2497,0.45399999999999996,0.332,0.733,882,1944,248,748,483,659,254
Furman,32,2492,0.47600000000000003,0.363,0.7140000000000001,904,1900,330,908,354,496,8
Wright State,34,2492,0.43700000000000006,0.342,0.736,860,1969,271,793,501,681,3
Arizona State,32,2490,0.447,0.341,0.6709999999999999,851,1903,232,680,556,829,235
Drake,33,2490,0.47100000000000003,0.364,0.753,880,1868,273,750,457,607,137
Fairleigh Dickinson,33,2489,0.478,0.40399999999999997,0.732,876,1834,254,629,483,660,279
West Virginia,34,2487,0.413,0.317,0.6829999999999999,841,2036,253,798,552,808,232
North Florida,33,2485,0.44799999999999995,0.34299999999999997,0.6920000000000001,902,2014,308,897,373,539,11
UTSA,32,2481,0.433,0.344,0.737,896,2068,294,855,395,536,30
Lehigh,31,2479,0.48200000000000004,0.423,0.774,856,1775,287,679,480,620,240
South Alabama,34,2478,0.46,0.375,0.6859999999999999,867,1883,285,761,459,669,61
Ball State,33,2478,0.47,0.325,0.7020000000000001,889,1892,202,621,498,709,260
Hartford,33,2477,0.455,0.381,0.742,848,1863,322,846,459,619,221
UT Rio Grande Valley,35,2475,0.41700000000000004,0.317,0.696,836,2006,187,590,616,885,259
Portland State,32,2475,0.424,0.309,0.7020000000000001,856,2017,238,769,525,748,17
Toledo,32,2473,0.45399999999999996,0.38,0.7709999999999999,878,1933,316,831,401,520,82
Georgia State,32,2470,0.466,0.38799999999999996,0.659,865,1858,316,814,424,643,24
Oregon,35,2467,0.45,0.34299999999999997,0.7190000000000001,886,1971,266,775,429,597,47
