Team,Seed,Opponent,OppSeed,PF,PA,WL,TeamID,OppTeamID
Temple,11,Belmont,11,70,81,L,302,13
Fairleigh Dickinson,16,Prairie View,16,82,76,W,279,267
St. John's (NY),11,Arizona St.,11,65,74,L,59,235
N.C. Central,16,North Dakota St.,16,74,78,L,266,96
Fairleigh Dickinson,16,Gonzaga,1,49,87,L,279,1
Bradley,15,Michigan St.,2,65,76,L,90,78
Abilene Christian,15,Kentucky,2,44,79,L,173,190
Montana,15,Michigan,2,55,74,L,304,160
Yale,14,LSU,3,74,79,L,189,109
Old Dominion,14,Purdue,3,48,61,L,275,203
Vermont,13,Florida St.,4,69,76,L,168,193
Northeastern,13,Kansas,4,53,87,L,88,169
New Mexico St.,12,Auburn,5,77,78,L,119,129
Murray St.,12,Marquette,5,83,64,W,72,33
Belmont,11,Maryland,6,77,79,L,13,194
Saint Mary's (CA),11,Villanova,6,57,61,L,18,208
Minnesota,10,Louisville,7,86,76,W,181,134
Florida,10,Nevada,7,70,61,W,219,69
Seton Hall,10,Wofford,7,68,84,L,117,103
Baylor,9,Syracuse,8,78,69,W,298,155
Gardner-Webb,16,Virginia,1,56,71,L,289,349
North Dakota St.,16,Duke,1,62,85,L,96,27
Iona,16,North Carolina,1,73,88,L,351,281
Colgate,15,Tennessee,2,70,77,L,64,318
Northern Ky.,14,Texas Tech,3,57,72,L,41,242
Georgia St.,14,Houston,3,55,84,L,24,130
UC Irvine,13,Kansas St.,4,70,64,W,85,323
Saint Louis,13,Virginia Tech,4,52,66,L,186,182
Oregon,12,Wisconsin,5,72,54,W,47,222
Liberty,12,Mississippi St.,5,80,76,W,198,230
Arizona St.,11,Buffalo,6,74,91,L,235,20
Ohio St.,11,Iowa St.,6,62,59,W,163,180
Iowa,10,Cincinnati,7,79,72,W,50,166
Oklahoma,9,Ole Miss,8,95,72,W,251,306
Washington,9,Utah St.,8,78,61,W,143,7
UCF,9,VCU,8,73,58,W,296,187
Baylor,9,Gonzaga,1,71,83,L,298,1
Wofford,7,Kentucky,2,56,62,L,103,190
Florida,10,Michigan,2,49,64,L,219,160
Minnesota,10,Michigan St.,2,50,70,L,181,78
Maryland,6,LSU,3,67,69,L,194,109
Villanova,6,Purdue,3,61,87,L,208,203
Murray St.,12,Florida St.,4,62,90,L,72,193
Auburn,5,Kansas,4,89,75,W,129,169
Washington,9,North Carolina,1,59,81,L,143,281
UCF,9,Duke,1,76,77,L,296,27
Oklahoma,9,Virginia,1,51,63,L,251,349
Iowa,10,Tennessee,2,77,83,L,50,318
Buffalo,6,Texas Tech,3,58,78,L,20,242
Ohio St.,11,Houston,3,59,74,L,163,130
Liberty,12,Virginia Tech,4,58,67,L,198,182
UC Irvine,13,Oregon,12,54,73,L,85,47
