STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
"Houston
HOU",13,5,.722,0,0,23,8,.742,2241,1926,W1,0.0,0.0,72.29032258064517,62.12903225806452,14,2,6,6,3,0,2,1
"Cincinnati
C",13,5,.722,0,0,20,10,.667,2182,2014,W2,0.0,0.0,72.73333333333333,67.13333333333334,13,2,5,6,2,2,2,3
"Tulsa
TLS",13,5,.722,0,0,21,10,.677,2103,1969,L1,0.0,0.0,67.83870967741936,63.516129032258064,15,2,6,7,0,1,2,1
"Wichita State
WIC",11,7,.611,0,0,23,8,.742,2227,1977,W1,0.0,0.0,71.83870967741936,63.774193548387096,17,2,5,5,1,1,1,1
"Memphis
MEM",10,8,.556,0,0,21,10,.677,2232,2012,L1,0.0,0.0,72.0,64.90322580645162,15,3,5,6,1,1,2,3
"Connecticut
C",10,8,.556,0,0,19,12,.613,2258,2078,W5,0.0,0.0,72.83870967741936,67.03225806451613,14,3,3,7,2,2,2,4
"SMU
SMU",9,9,.500,0,0,19,11,.633,2188,2054,L3,0.0,0.0,72.93333333333334,68.46666666666667,15,2,4,9,0,0,2,0
"UCF
UCF",7,11,.389,0,0,16,14,.533,2067,2037,W2,0.0,0.0,68.9,67.9,10,6,4,7,2,1,0,0
"South Florida
USF",7,11,.389,0,0,14,17,.452,1943,1944,W1,0.0,0.0,62.67741935483871,62.70967741935484,10,7,3,6,1,4,0,4
"Temple
TEM",6,12,.333,0,0,14,17,.452,2117,2104,L5,0.0,0.0,68.29032258064517,67.87096774193549,8,7,4,8,2,2,1,2
"East Carolina
ECU",5,13,.278,0,0,11,20,.355,2111,2238,L3,0.0,0.0,68.09677419354838,72.19354838709677,9,7,1,11,1,2,0,2
"Tulane
TU",4,14,.222,0,0,12,18,.400,2050,2128,L3,0.0,0.0,68.33333333333333,70.93333333333334,7,7,3,7,2,4,0,2
