STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
E Washington,16,4,.800,0,0,23,8,.742,2509,2257,W7,0.0,0.0,80.93548387096774,72.80645161290323,13,2,10,6,0,0,0,2
Northern Colorado,15,5,.750,0,0,22,9,.710,2303,1945,W2,0.0,0.0,74.29032258064517,62.74193548387097,11,3,9,5,2,1,0,0
Montana,14,6,.700,0,0,18,13,.581,2195,2122,L2,0.0,0.0,70.80645161290323,68.45161290322581,12,3,6,10,0,0,0,2
Portland State,12,8,.600,0,0,18,14,.563,2518,2412,W6,0.0,0.0,78.6875,75.375,11,3,6,11,1,0,0,0
Northern Arizona,10,10,.500,0,0,16,14,.533,2128,2081,L3,0.0,0.0,70.93333333333334,69.36666666666666,10,5,6,8,0,1,0,1
Montana State,10,10,.500,0,0,16,15,.516,2066,2076,L1,0.0,0.0,66.64516129032258,66.96774193548387,9,5,5,10,2,0,0,1
Southern Utah,9,11,.450,0,0,17,15,.531,2329,2122,W2,0.0,0.0,72.78125,66.3125,9,5,6,10,2,0,0,0
Weber State,8,12,.400,0,0,12,20,.375,2225,2280,L2,0.0,0.0,69.53125,71.25,8,6,4,9,0,5,0,1
Sacramento State,8,12,.400,0,0,16,14,.533,1895,1791,W1,0.0,0.0,63.166666666666664,59.7,10,4,4,10,2,0,0,1
Idaho,4,16,.200,0,0,8,24,.250,2086,2329,L1,0.0,0.0,65.1875,72.78125,5,10,2,12,1,2,0,0
Idaho State,4,16,.200,0,0,8,22,.267,2091,2198,W1,0.0,0.0,69.7,73.26666666666667,4,9,3,13,1,0,0,0
