STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Winthrop,15,3,.833,0,0,24,10,.706,2765,2431,W5,0.0,0.0,81.32352941176471,71.5,12,4,10,6,2,0,1,1
Radford,15,3,.833,0,0,21,11,.656,2302,2115,L1,0.0,0.0,71.9375,66.09375,11,4,9,6,1,1,0,0
Gardner-Webb,11,7,.611,0,0,16,16,.500,2318,2272,L1,0.0,0.0,72.4375,71.0,7,5,6,10,3,1,0,1
Longwood,9,9,.500,0,0,14,18,.438,2148,2195,L1,0.0,0.0,67.125,68.59375,8,6,6,11,0,1,0,0
UNC Asheville,8,10,.444,0,0,15,16,.484,2326,2318,L1,0.0,0.0,75.03225806451613,74.7741935483871,10,5,5,10,0,1,0,0
Hampton,8,10,.444,0,0,15,19,.441,2635,2693,L1,0.0,0.0,77.5,79.20588235294117,11,5,3,14,1,0,0,0
USC Upstate,7,11,.389,0,0,13,20,.394,2286,2460,L1,0.0,0.0,69.27272727272727,74.54545454545455,9,6,4,13,0,1,0,1
Presbyterian,7,11,.389,0,0,10,22,.313,2155,2346,L1,0.0,0.0,67.34375,73.3125,7,6,3,14,0,2,0,1
Charleston So,7,11,.389,0,0,14,18,.438,2203,2304,L1,0.0,0.0,68.84375,72.0,8,6,5,11,1,1,0,1
Campbell,6,12,.333,0,0,15,16,.484,2130,2065,L1,0.0,0.0,68.70967741935483,66.61290322580645,8,5,6,10,1,1,0,0
High Point,6,12,.333,0,0,9,23,.281,2110,2396,L4,0.0,0.0,65.9375,74.875,6,9,3,14,0,0,0,0
