STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Hofstra,14,4,.778,0,0,26,8,.765,2596,2326,W4,0.0,0.0,76.3529411764706,68.41176470588235,10,4,11,4,5,0,0,0
"William & Mary
W",13,5,.722,0,0,21,11,.656,2288,2208,L1,0.0,0.0,71.5,69.0,11,2,10,7,0,2,0,0
"Towson
TOW",12,6,.667,0,0,19,13,.594,2258,2125,L1,0.0,0.0,70.5625,66.40625,9,5,8,4,2,4,0,2
"Charleston
COFC",11,7,.611,0,0,17,14,.548,2176,2109,L1,0.0,0.0,70.19354838709677,68.03225806451613,10,5,6,6,1,3,0,0
Delaware,11,7,.611,0,0,22,11,.667,2452,2332,L1,0.0,0.0,74.3030303030303,70.66666666666667,11,3,7,6,4,2,0,1
"Northeastern
N",9,9,.500,0,0,17,16,.515,2347,2191,L1,0.0,0.0,71.12121212121212,66.39393939393939,7,6,7,7,3,3,0,0
"Elon
ELON",7,11,.389,0,0,13,21,.382,2337,2438,L1,0.0,0.0,68.73529411764706,71.70588235294117,8,8,3,12,2,1,0,1
Drexel,6,12,.333,0,0,14,19,.424,2254,2323,L1,0.0,0.0,68.3030303030303,70.39393939393939,10,5,1,13,3,1,0,0
"UNCW
UNCW",5,13,.278,0,0,10,22,.313,2186,2294,L2,0.0,0.0,68.3125,71.6875,8,8,1,12,1,2,0,1
"James Madison
JMU",2,16,.111,0,0,9,21,.300,2157,2296,L8,0.0,0.0,71.9,76.53333333333333,6,9,3,11,0,1,0,1
