STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
"North Texas
UNT",14,4,.778,0,0,20,11,.645,2203,1962,L1,0.0,0.0,71.06451612903226,63.29032258064516,13,3,7,6,0,2,0,3
"Louisiana Tech
LT",13,5,.722,0,0,22,8,.733,2235,1910,W2,0.0,0.0,74.5,63.666666666666664,15,1,7,7,0,0,0,0
"Western Kentucky
WKU",13,5,.722,0,0,20,10,.667,2297,2160,W1,0.0,0.0,76.56666666666666,72.0,12,2,6,6,2,2,0,1
"Charlotte
CHA",10,8,.556,0,0,16,13,.552,1922,1877,L1,0.0,0.0,66.27586206896552,64.72413793103448,13,2,3,11,0,0,0,0
"Marshall
MRS",10,8,.556,0,0,17,15,.531,2429,2339,W3,0.0,0.0,75.90625,73.09375,10,6,5,9,2,0,0,1
"FIU
FIU",9,9,.500,0,0,19,13,.594,2455,2319,W1,0.0,0.0,76.71875,72.46875,11,3,6,9,2,1,0,0
"Old Dominion
ODU",9,9,.500,0,0,13,19,.406,2098,2099,L2,0.0,0.0,65.5625,65.59375,10,4,3,11,0,4,0,0
"UAB
UAB",9,9,.500,0,0,19,13,.594,2154,2088,W2,0.0,0.0,67.3125,65.25,11,6,5,7,3,0,0,2
"Florida Atlantic
FAU",8,10,.444,0,0,17,15,.531,2275,2222,W1,0.0,0.0,71.09375,69.4375,14,3,2,12,1,0,0,0
"UTEP
UTEP",8,10,.444,0,0,17,15,.531,2157,2116,L1,0.0,0.0,67.40625,66.125,12,4,3,8,2,3,0,0
"Rice
RICE",7,11,.389,0,0,15,17,.469,2363,2375,L2,0.0,0.0,73.84375,74.21875,8,7,5,8,2,2,0,0
"UTSA
UTSA",7,11,.389,0,0,13,19,.406,2461,2465,L3,0.0,0.0,76.90625,77.03125,10,5,3,9,0,5,0,1
"Southern Miss
US",5,13,.278,0,0,9,22,.290,2047,2242,L4,0.0,0.0,66.03225806451613,72.3225806451613,8,7,1,12,0,3,0,3
"Middle Tennessee
MTU",4,14,.222,0,0,8,23,.258,2193,2332,W1,0.0,0.0,70.74193548387096,75.2258064516129,5,10,3,10,0,3,0,1
