STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Wright State,15,3,.833,0,0,25,7,.781,2580,2264,L1,0.0,0.0,80.625,70.75,14,2,9,3,2,2,0,0
"Northern Kentucky
NKU",13,5,.722,0,0,23,9,.719,2317,2089,W2,0.0,0.0,72.40625,65.28125,11,4,10,5,2,0,0,0
Green Bay,11,7,.611,0,0,17,16,.515,2694,2643,L1,0.0,0.0,81.63636363636364,80.0909090909091,10,5,7,10,0,1,0,1
"Youngstown State
YSU",10,8,.556,0,0,18,15,.545,2401,2351,L1,0.0,0.0,72.75757575757575,71.24242424242425,13,3,5,11,0,1,0,2
"UIC
UIC",10,8,.556,0,0,18,17,.514,2412,2407,L1,0.0,0.0,68.91428571428571,68.77142857142857,11,7,5,9,2,1,0,1
Oakland,8,10,.444,0,0,14,19,.424,2239,2301,L1,0.0,0.0,67.84848484848484,69.72727272727273,8,5,4,12,2,2,0,2
"Milwaukee
MI",7,11,.389,0,0,12,19,.387,2216,2252,L6,0.0,0.0,71.48387096774194,72.64516129032258,7,8,4,9,1,2,0,1
"Cleveland State
C",7,11,.389,0,0,11,21,.344,2053,2298,L2,0.0,0.0,64.15625,71.8125,6,8,3,13,2,0,0,0
Detroit,6,12,.333,0,0,8,23,.258,2175,2422,W1,0.0,0.0,70.16129032258064,78.12903225806451,5,8,2,14,1,1,0,1
"IUPUI
IUPU",3,15,.167,0,0,7,25,.219,2256,2564,L2,0.0,0.0,70.5,80.125,4,9,3,14,0,2,0,0
