STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
N Carolina Cent,13,3,.813,0,0,18,13,.581,2162,2045,W6,0.0,0.0,69.74193548387096,65.96774193548387,12,0,5,13,1,0,0,1
Norfolk State,12,4,.750,0,0,16,15,.516,2186,2012,W3,0.0,0.0,70.51612903225806,64.90322580645162,11,1,4,12,1,2,0,0
N Carolina A&,12,4,.750,0,0,17,15,.531,2311,2305,W1,0.0,0.0,72.21875,72.03125,11,1,4,12,2,2,0,1
Florida A&,10,6,.625,0,0,12,15,.444,1824,1984,L1,0.0,0.0,67.55555555555556,73.48148148148148,8,0,4,13,0,2,0,2
Bethune-Cookman,10,6,.625,0,0,16,14,.533,2239,2167,W1,0.0,0.0,74.63333333333334,72.23333333333333,10,1,4,13,2,0,0,1
Morgan State,9,7,.563,0,0,15,16,.484,2182,2197,L2,0.0,0.0,70.38709677419355,70.87096774193549,8,6,7,7,0,3,0,1
Coppin State,7,9,.438,0,0,11,20,.355,2109,2298,W3,0.0,0.0,68.03225806451613,74.12903225806451,5,5,6,15,0,0,0,0
South Carolina St,6,10,.375,0,0,11,18,.379,2037,2180,L6,0.0,0.0,70.24137931034483,75.17241379310344,8,5,3,12,0,1,0,1
Maryland E Shore,4,12,.250,0,0,5,27,.156,1841,2278,L6,0.0,0.0,57.53125,71.1875,4,6,1,20,0,1,0,1
Delaware State,4,12,.250,0,0,6,26,.188,2350,2655,L1,0.0,0.0,73.4375,82.96875,3,11,2,13,1,2,0,0
Howard,1,15,.063,0,0,4,29,.121,2306,2682,L1,0.0,0.0,69.87878787878788,81.27272727272727,2,13,1,14,1,2,0,0
