STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
"UNI
UNI",14,4,.778,0,0,25,6,.806,2330,2006,L1,0.0,0.0,75.16129032258064,64.70967741935483,16,0,8,4,1,2,1,0
"Loyola (CHI)
L-I",13,5,.722,0,0,21,11,.656,2198,2007,L1,0.0,0.0,68.6875,62.71875,14,2,5,6,2,3,0,0
Bradley,11,7,.611,0,0,23,11,.676,2438,2240,W3,0.0,0.0,71.70588235294117,65.88235294117646,15,2,4,8,4,1,0,1
"Indiana State
IN",11,7,.611,0,0,18,12,.600,2052,2004,L1,0.0,0.0,68.4,66.8,12,1,4,8,2,3,0,1
"Southern Illinois
SIU",10,8,.556,0,0,16,16,.500,2002,1991,L4,0.0,0.0,62.5625,62.21875,12,3,3,10,1,3,0,0
"Missouri State
MOSU",9,9,.500,0,0,16,17,.485,2330,2238,L1,0.0,0.0,70.60606060606061,67.81818181818181,11,4,3,10,2,3,0,1
Valparaiso,9,9,.500,0,0,19,16,.543,2530,2494,L1,0.0,0.0,72.28571428571429,71.25714285714285,11,3,4,10,4,3,0,0
Drake,8,10,.444,0,0,20,14,.588,2359,2302,L1,0.0,0.0,69.38235294117646,67.70588235294117,14,2,2,10,4,2,0,1
"Illinois State
I",5,13,.278,0,0,10,21,.323,2050,2171,L1,0.0,0.0,66.12903225806451,70.03225806451613,9,6,1,11,0,4,0,0
"Evansville
EVAN",0,18,.000,0,0,9,23,.281,2149,2368,L19,0.0,0.0,67.15625,74.0,5,10,3,10,1,3,1,0
