STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Colgate,14,4,.778,0,0,25,9,.735,2588,2315,L1,0.0,0.0,76.11764705882354,68.08823529411765,15,2,9,7,1,0,0,1
Boston,12,6,.667,0,0,21,13,.618,2410,2269,W4,0.0,0.0,70.88235294117646,66.73529411764706,12,3,9,8,0,2,0,0
American,12,6,.667,0,0,16,14,.533,2149,2085,L1,0.0,0.0,71.63333333333334,69.5,10,4,6,10,0,0,0,0
Army,10,8,.556,0,0,15,15,.500,2128,2161,L2,0.0,0.0,70.93333333333334,72.03333333333333,9,6,6,9,0,0,0,1
Lafayette,10,8,.556,0,0,19,12,.613,2174,2133,L1,0.0,0.0,70.12903225806451,68.80645161290323,9,5,10,7,0,0,0,0
Navy,8,10,.444,0,0,14,16,.467,1908,1924,L2,0.0,0.0,63.6,64.13333333333334,10,5,4,11,0,0,0,1
Bucknell,8,10,.444,0,0,14,20,.412,2299,2415,L1,0.0,0.0,67.61764705882354,71.02941176470588,9,5,4,14,1,1,0,0
"Loyola (MD)
L-",7,11,.389,0,0,15,17,.469,2348,2394,L3,0.0,0.0,73.375,74.8125,9,4,5,13,1,0,0,0
Lehigh,7,11,.389,0,0,11,21,.344,2184,2339,L1,0.0,0.0,68.25,73.09375,8,6,3,15,0,0,0,1
Holy Cross,2,16,.111,0,0,3,29,.094,2106,2537,L12,0.0,0.0,65.8125,79.28125,2,12,0,16,1,1,0,1
