STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
"Kentucky
U",15,3,.833,0,0,25,6,.806,2307,2049,W1,0.0,0.0,74.41935483870968,66.09677419354838,16,2,8,2,1,2,4,2
"LSU
LSU",12,6,.667,0,0,21,10,.677,2495,2271,W1,0.0,0.0,80.48387096774194,73.25806451612904,15,2,5,7,1,1,0,3
"Auburn
AU",12,6,.667,0,0,25,6,.806,2419,2182,W1,0.0,0.0,78.03225806451613,70.38709677419355,16,1,5,5,4,0,2,1
"Mississippi State
MSS",11,7,.611,0,0,20,11,.645,2275,2112,W1,0.0,0.0,73.38709677419355,68.12903225806451,14,2,4,7,2,2,0,3
"Florida
FL",11,7,.611,0,0,19,12,.613,2228,2047,L1,0.0,0.0,71.87096774193549,66.03225806451613,11,4,4,7,4,1,2,4
Texas A&,10,8,.556,0,0,16,14,.533,1894,1955,W2,0.0,0.0,63.13333333333333,65.16666666666667,11,6,5,4,0,4,1,2
"South Carolina
S",10,8,.556,0,0,18,13,.581,2275,2156,L1,0.0,0.0,73.38709677419355,69.54838709677419,12,5,6,6,0,2,2,1
Tennessee,9,9,.500,0,0,17,14,.548,2079,1990,L1,0.0,0.0,67.06451612903226,64.19354838709677,11,6,4,7,2,1,3,5
"Alabama
AL",8,10,.444,0,0,16,15,.516,2542,2449,L2,0.0,0.0,82.0,79.0,10,5,4,8,2,2,2,4
Arkansas,7,11,.389,0,0,20,12,.625,2426,2228,W1,0.0,0.0,75.8125,69.625,14,4,5,8,1,0,0,2
Missouri,7,11,.389,0,0,15,16,.484,2081,2020,W1,0.0,0.0,67.12903225806451,65.16129032258064,12,4,2,10,1,2,1,4
"Ole Miss
MISS",6,12,.333,0,0,15,17,.469,2208,2193,L2,0.0,0.0,69.0,68.53125,12,5,1,10,2,2,0,7
"Georgia
U",5,13,.278,0,0,16,16,.500,2428,2418,W1,0.0,0.0,75.875,75.5625,12,5,2,9,2,2,2,4
Vanderbilt,3,15,.167,0,0,11,21,.344,2295,2399,L1,0.0,0.0,71.71875,74.96875,10,10,1,9,0,2,1,3
