STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Stephen F Austin,19,1,.950,0,0,28,3,.903,2499,2077,W15,0.0,0.0,80.61290322580645,67.0,16,1,12,2,0,0,1,0
Abilene Christian,15,5,.750,0,0,20,11,.645,2352,2024,W1,0.0,0.0,75.87096774193549,65.29032258064517,13,3,7,8,0,0,0,0
Nicholls State,15,5,.750,0,0,21,10,.677,2388,2144,W3,0.0,0.0,77.03225806451613,69.16129032258064,13,1,7,8,1,1,0,1
Northwstern St,11,9,.550,0,0,15,15,.500,2265,2270,W3,0.0,0.0,75.5,75.66666666666667,9,5,5,10,1,0,0,0
Sam Houston State,11,9,.550,0,0,18,13,.581,2417,2242,L3,0.0,0.0,77.96774193548387,72.3225806451613,12,3,6,10,0,0,0,0
Texas A&M-,10,10,.500,0,0,14,18,.438,2109,2199,L1,0.0,0.0,65.90625,68.71875,10,6,4,11,0,1,0,0
McNeese State,10,10,.500,0,0,15,17,.469,2540,2390,L1,0.0,0.0,79.375,74.6875,10,5,5,11,0,1,0,0
Lamar,10,10,.500,0,0,17,15,.531,2312,2227,W1,0.0,0.0,72.25,69.59375,10,5,6,10,1,0,0,1
Central Arkansas,9,11,.450,0,0,10,21,.323,2316,2553,L3,0.0,0.0,74.70967741935483,82.35483870967742,8,4,2,16,0,1,0,2
Incarnate Word,6,14,.300,0,0,9,22,.290,2050,2292,L5,0.0,0.0,66.12903225806451,73.93548387096774,7,9,2,13,0,0,0,0
New Orleans,5,15,.250,0,0,9,21,.300,2262,2323,W1,0.0,0.0,75.4,77.43333333333334,6,8,3,13,0,0,0,1
SE Louisiana,5,15,.250,0,0,8,23,.258,2157,2429,L1,0.0,0.0,69.58064516129032,78.35483870967742,6,8,2,14,0,1,0,0
Houston Baptist,4,16,.200,0,0,4,25,.138,2323,2723,L1,0.0,0.0,80.10344827586206,93.89655172413794,2,9,2,15,0,1,0,2
