STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
"Prairie View A&M
P",14,4,.778,0,0,19,13,.594,2302,2186,W1,0.0,0.0,71.9375,68.3125,12,0,6,12,1,1,0,0
"Southern U
SOU",13,5,.722,0,0,17,15,.531,2234,2147,W8,0.0,0.0,69.8125,67.09375,11,1,5,14,1,0,0,1
Texas Southern,12,6,.667,0,0,16,16,.500,2335,2431,W1,0.0,0.0,72.96875,75.96875,11,1,5,15,0,0,0,2
Jackson State,11,7,.611,0,0,15,17,.469,2153,2157,W5,0.0,0.0,67.28125,67.40625,9,3,6,14,0,0,0,2
"Alcorn State
A",11,7,.611,0,0,15,15,.500,2251,2196,L1,0.0,0.0,75.03333333333333,73.2,11,2,4,13,0,0,0,1
"Grambling State
GRA",11,7,.611,0,0,17,15,.531,2280,2188,L1,0.0,0.0,71.25,68.375,11,2,6,12,0,1,0,1
"Alabama State
A",7,11,.389,0,0,8,24,.250,1965,2273,L7,0.0,0.0,61.40625,71.03125,4,5,2,16,2,3,0,4
"Alabama A&M
AAMU",5,13,.278,0,0,8,22,.267,1845,2146,L2,0.0,0.0,61.5,71.53333333333333,6,5,2,16,0,1,0,0
"UAPB
ARPB",3,15,.167,0,0,4,26,.133,1615,2049,L3,0.0,0.0,53.833333333333336,68.3,2,8,2,18,0,0,0,1
"Miss Valley State
MVSU",3,15,.167,0,0,3,27,.100,2048,2690,W1,0.0,0.0,68.26666666666667,89.66666666666667,1,8,2,19,0,0,0,0
