AP20_Rnk,PS20_Rnk,KP20_Rank,TeamID,TS20_Team,KP20_Conference,TS20_GP,STA20_W,STA20_L,STA20_Pct,STA20_Strk,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,STA20_Conf_PF,STA20_Conf_PA,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PF,STA20_PA,STA20_PPG,STA20_PAPG,TS20_FGM,TS20_FGA,TS20_FG%,TS20_3PM,TS20_3PA,TS20_3P%,TS20_FTM,TS20_FTA,TS20_FT%,KP20_Ajusted Efficiency Margin,KP20_Adjusted Offensive Efficiency,KP20_AOE Rk,KP20_Adjusted Defensive Efficiency,KP20_ADE Rk,KP20_Adjusted Tempo,KP20_AT Rk,KP20_Luck,KP20_Luck Rk,KP20_Strength of Schedule,KP20_SOS Rk,KP20_Non-Conference Strength of Schedule,KP20_NCSOS Rk,KP20_Average Opponents Offensive Efficiency,KP20_AOOE Rk,KP20_Average Opponents Defensive Efficiency,KP20_AODE Rk,Team,Seed
,,76.0,168,Vermont,AE,33,26,7,0.7879999999999999,W4,14,2,0.875,13,3,12,3,1,1,0,1,0,0,0.0,0.0,2361,1963,71.54545454545455,59.48484848484848,841,1876,0.44799999999999995,267,816,0.327,412,574,0.718,10.1,106.5,98.0,96.4,68.0,66.3,273.0,-0.027000000000000003,257.0,-5.44,280.0,1.8,110.0,98.7,319.0,104.2,234.0,Vermont,13.0
22.0,22.0,14.0,130,Houston,Amer,31,23,8,0.742,W1,13,5,0.722,14,2,6,6,3,0,2,1,0,0,0.0,0.0,2241,1926,72.29032258064517,62.12903225806453,788,1868,0.42200000000000004,216,641,0.337,449,615,0.73,20.39,112.7,22.0,92.3,21.0,65.7,300.0,-0.052000000000000005,308.0,6.33,68.0,2.56,88.0,104.2,99.0,97.9,38.0,Houston,8.0
,,39.0,148,Wichita State,Amer,31,23,8,0.742,W1,11,7,0.611,17,2,5,5,1,1,1,1,0,0,0.0,0.0,2227,1977,71.83870967741936,63.774193548387096,769,1891,0.40700000000000003,244,744,0.32799999999999996,445,638,0.6970000000000001,15.19,105.6,117.0,90.4,8.0,69.5,101.0,0.040999999999999995,78.0,4.78,81.0,-1.25,223.0,103.7,109.0,98.9,66.0,Wichita St.,11.0
,,44.0,166,Cincinnati,Amer,30,20,10,0.667,W2,13,5,0.722,13,2,5,6,2,2,2,3,0,0,0.0,0.0,2182,2014,72.73333333333333,67.13333333333334,763,1713,0.445,197,618,0.319,459,678,0.677,14.02,108.8,59.0,94.7,51.0,68.0,199.0,-0.013000000000000001,220.0,6.52,65.0,3.6,64.0,104.4,94.0,97.9,39.0,Cincinnati,11.0
3.0,3.0,4.0,26,Dayton,A10,31,29,2,0.935,W20,18,0,1.0,17,0,9,0,3,2,0,1,0,0,0.0,0.0,2480,2000,80.0,64.51612903225806,905,1725,0.525,249,672,0.371,421,585,0.72,24.93,119.1,2.0,94.1,38.0,67.6,220.0,0.002,180.0,2.74,105.0,-0.74,203.0,104.1,103.0,101.3,105.0,Dayton,1.0
,,46.0,106,Richmond,A10,31,24,7,0.774,W4,14,4,0.778,14,2,9,3,1,2,0,2,0,0,0.0,0.0,2335,2070,75.3225806451613,66.7741935483871,847,1818,0.466,249,688,0.36200000000000004,392,505,0.7759999999999999,13.87,109.2,53.0,95.3,54.0,69.3,124.0,0.044000000000000004,69.0,1.86,115.0,-0.95,211.0,104.2,98.0,102.4,142.0,Richmond,11.0
11.0,11.0,5.0,27,Duke,ACC,31,25,6,0.8059999999999999,W2,15,5,0.75,15,2,7,4,3,0,3,1,0,0,0.0,0.0,2558,2107,82.51612903225806,67.96774193548387,920,1957,0.47,217,617,0.35200000000000004,501,696,0.72,24.62,115.7,9.0,91.1,12.0,72.0,34.0,-0.009000000000000001,209.0,7.28,54.0,2.6,85.0,106.0,53.0,98.7,58.0,Duke,3.0
14.0,14.0,9.0,134,Louisville,ACC,31,24,7,0.774,L1,15,5,0.75,17,1,6,5,1,1,2,4,0,0,0.0,0.0,2296,1974,74.06451612903227,63.67741935483871,810,1787,0.45299999999999996,255,679,0.376,421,576,0.731,21.36,114.5,12.0,93.1,30.0,67.1,242.0,-0.003,193.0,7.1,58.0,-1.09,216.0,105.3,75.0,98.2,48.0,Louisville,4.0
16.0,16.0,42.0,349,Virginia,ACC,30,23,7,0.767,W8,15,5,0.75,14,3,7,4,2,0,4,2,0,0,0.0,0.0,1711,1571,57.03333333333333,52.36666666666667,626,1515,0.413,170,560,0.304,289,403,0.7170000000000001,14.22,99.3,234.0,85.1,1.0,59.4,353.0,0.109,6.0,6.93,60.0,-3.7,292.0,105.6,63.0,98.7,57.0,Virginia,6.0
,,79.0,198,Liberty,ASun,33,30,4,0.882,W3,13,3,0.813,17,0,7,4,6,0,0,0,0,0,0.0,0.0,2332,1830,68.58823529411765,53.82352941176471,807,1704,0.474,254,699,0.363,384,539,0.7120000000000001,9.68,106.1,107.0,96.4,69.0,61.5,352.0,0.023,119.0,-9.0,345.0,-5.13,322.0,98.3,331.0,107.3,347.0,Liberty,13.0
,,288.0,207,Stetson,ASun,33,16,17,0.485,L1,9,7,0.563,8,7,7,9,1,1,0,1,0,0,0.0,0.0,2103,2167,63.72727272727273,65.66666666666667,747,1679,0.445,180,545,0.33,429,644,0.6659999999999999,-10.22,98.1,255.0,108.3,299.0,63.2,344.0,0.083,14.0,-5.43,279.0,-2.55,257.0,99.4,299.0,104.8,262.0,Rutgers,11.0
1.0,1.0,1.0,169,Kansas,B12,31,28,3,0.903,W16,17,1,0.9440000000000001,14,1,10,0,4,2,4,3,0,0,0.0,0.0,2312,1882,74.58064516129029,60.70967741935484,851,1758,0.484,199,578,0.344,411,616,0.667,30.23,115.8,8.0,85.5,2.0,67.3,233.0,0.04,79.0,12.66,2.0,9.58,10.0,107.4,26.0,94.7,1.0,Kansas,1.0
24.0,24.0,10.0,232,West Virginia,B12,31,21,10,0.677,W2,9,9,0.5,14,2,3,8,4,0,3,3,0,0,0.0,0.0,2179,1935,70.29032258064517,62.41935483870968,774,1833,0.42200000000000004,155,542,0.28600000000000003,476,742,0.642,21.26,108.3,67.0,87.1,3.0,69.4,112.0,-0.027999999999999997,260.0,11.28,15.0,5.8,32.0,107.2,27.0,95.9,8.0,West Virginia,6.0
