STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
"Kansas
KU",17,1,0.9440000000000001,0,0,28,3,0.903,2312,1882,W16,0.0,0.0,74.5806451612903,60.70967741935484,14,1,10,0,4,2,4,3,169
Baylor,15,3,0.833,0,0,26,4,0.867,2134,1804,L1,0.0,0.0,71.13333333333334,60.13333333333333,14,1,9,2,3,1,6,1,298
"Texas
T",9,9,0.5,0,0,19,12,0.613,1989,1962,L1,0.0,0.0,64.16129032258064,63.29032258064516,11,6,6,5,2,1,3,5,320
Oklahoma,9,9,0.5,0,0,19,12,0.613,2177,2089,W1,0.0,0.0,70.2258064516129,67.38709677419354,12,3,4,8,3,1,3,4,251
"West Virginia
WVU",9,9,0.5,0,0,21,10,0.677,2179,1935,W2,0.0,0.0,70.29032258064517,62.41935483870968,14,2,3,8,4,0,3,3,232
"Texas Tech
TTU",9,9,0.5,0,0,18,13,0.581,2230,1969,L4,0.0,0.0,71.93548387096773,63.516129032258064,13,4,3,7,2,2,2,6,242
"TCU
TCU",7,11,0.389,0,0,16,16,0.5,2093,2079,L3,0.0,0.0,65.40625,64.96875,14,5,1,9,1,2,3,5,291
"Oklahoma State
OKST",7,11,0.389,0,0,18,14,0.563,2163,2115,W4,0.0,0.0,67.59375,66.09375,10,6,5,7,3,1,1,7,313
"Iowa State
ISU",5,13,0.278,0,0,12,20,0.375,2304,2335,L4,0.0,0.0,72.0,72.96875,11,6,0,11,1,3,1,8,180
"Kansas State
KSU",3,15,0.16699999999999998,0,0,11,21,0.344,2054,2079,W2,0.0,0.0,64.1875,64.96875,9,7,1,10,1,4,1,6,323
