STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
Wisconsin,14,6,0.7,0,0,21,10,0.677,2082,1927,W8,0.0,0.0,67.16129032258064,62.161290322580655,15,1,6,6,0,3,5,3,222
Maryland,14,6,0.7,0,0,24,7,0.774,2226,1999,W1,0.0,0.0,71.80645161290323,64.48387096774194,16,1,5,6,3,0,4,2,194
Michigan State,14,6,0.7,0,0,22,9,0.71,2353,2007,W5,0.0,0.0,75.90322580645163,64.74193548387096,12,3,7,4,3,2,7,4,78
Illinois,13,7,0.65,0,0,21,10,0.677,2239,2024,W1,0.0,0.0,72.2258064516129,65.29032258064517,15,3,6,6,0,1,3,6,107
Rutgers,11,9,0.55,0,0,20,11,0.645,2168,1942,W2,0.0,0.0,69.93548387096774,62.645161290322584,18,1,2,8,0,2,4,4,197
Penn State,11,9,0.55,0,0,21,10,0.677,2327,2114,L3,0.0,0.0,75.06451612903227,68.19354838709678,15,3,5,6,1,1,4,3,77
Ohio State,11,9,0.55,0,0,21,10,0.677,2234,1951,L1,0.0,0.0,72.06451612903227,62.935483870967744,16,2,4,7,1,1,6,4,163
Iowa,11,9,0.55,0,0,20,11,0.645,2410,2241,L2,0.0,0.0,77.74193548387096,72.29032258064517,14,2,4,8,2,1,7,5,50
Michigan,10,10,0.5,0,0,19,12,0.613,2326,2116,L1,0.0,0.0,75.03225806451613,68.25806451612904,11,5,4,7,4,0,4,6,160
Indiana,9,11,0.45,0,0,20,12,0.625,2286,2135,W1,0.0,0.0,71.4375,66.71875,15,4,2,8,3,0,5,4,132
Purdue,9,11,0.45,0,0,16,15,0.516,2114,1942,L1,0.0,0.0,68.19354838709678,62.645161290322584,11,5,4,8,1,2,5,6,203
Minnesota,8,12,0.4,0,0,15,16,0.484,2205,2055,W2,0.0,0.0,71.12903225806451,66.29032258064517,11,5,2,10,2,1,2,6,181
Northwestern,3,17,0.15,0,0,8,23,0.258,2012,2172,L1,0.0,0.0,64.90322580645162,70.06451612903226,5,11,2,10,1,2,1,7,317
Nebraska,2,18,0.1,0,0,7,25,0.21899999999999997,2235,2499,L17,0.0,0.0,69.84375,78.09375,5,11,0,12,2,2,0,7,176
