STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
Hofstra,14,4,0.778,0,0,26,8,0.765,2596,2326,W4,0.0,0.0,76.3529411764706,68.41176470588235,10,4,11,4,5,0,0,0,19
"William & Mary
W",13,5,0.722,0,0,21,11,0.6559999999999999,2288,2208,L1,0.0,0.0,71.5,69.0,11,2,10,7,0,2,0,0,40
"Towson
TOW",12,6,0.667,0,0,19,13,0.594,2258,2125,L1,0.0,0.0,70.5625,66.40625,9,5,8,4,2,4,0,2,145
"Charleston
COFC",11,7,0.611,0,0,17,14,0.5479999999999999,2176,2109,L1,0.0,0.0,70.19354838709678,68.03225806451613,10,5,6,6,1,3,0,0,136
Delaware,11,7,0.611,0,0,22,11,0.667,2452,2332,L1,0.0,0.0,74.3030303030303,70.66666666666667,11,3,7,6,4,2,0,1,42
"Northeastern
N",9,9,0.5,0,0,17,16,0.515,2347,2191,L1,0.0,0.0,71.12121212121212,66.39393939393939,7,6,7,7,3,3,0,0,88
"Elon
ELON",7,11,0.389,0,0,13,21,0.382,2337,2438,L1,0.0,0.0,68.73529411764707,71.70588235294117,8,8,3,12,2,1,0,1,127
Drexel,6,12,0.33299999999999996,0,0,14,19,0.424,2254,2323,L1,0.0,0.0,68.3030303030303,70.39393939393939,10,5,1,13,3,1,0,0,100
"UNCW
UNCW",5,13,0.278,0,0,10,22,0.313,2186,2294,L2,0.0,0.0,68.3125,71.6875,8,8,1,12,1,2,0,1,87
"James Madison
JMU",2,16,0.111,0,0,9,21,0.3,2157,2296,L8,0.0,0.0,71.9,76.53333333333333,6,9,3,11,0,1,0,1,146
