STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
Siena,15,5,0.75,0,0,20,10,0.667,2167,2031,W10,0.0,0.0,72.23333333333333,67.7,14,0,5,10,1,0,0,1,307
Saint Peter's,14,6,0.7,0,0,18,12,0.6,1990,1923,W3,0.0,0.0,66.33333333333333,64.1,11,3,5,9,2,0,0,0,344
Rider,12,8,0.6,0,0,18,12,0.6,2152,2080,W3,0.0,0.0,71.73333333333333,69.33333333333333,11,1,5,11,2,0,0,0,233
Monmouth,12,8,0.6,0,0,18,13,0.581,2209,2188,L1,0.0,0.0,71.25806451612904,70.5806451612903,11,2,6,10,1,1,0,1,295
Quinnipiac,10,10,0.5,0,0,15,15,0.5,2088,2122,W3,0.0,0.0,69.6,70.73333333333333,9,5,5,9,1,1,0,0,316
Niagara,9,11,0.45,0,0,12,20,0.375,2102,2316,W1,0.0,0.0,65.6875,72.375,9,3,2,17,1,0,0,0,311
Iona,9,11,0.45,0,0,12,17,0.414,2030,2055,L1,0.0,0.0,70.0,70.86206896551724,5,6,4,9,3,2,0,0,351
Fairfield,8,12,0.4,0,0,12,20,0.375,1857,2012,L1,0.0,0.0,58.03125,62.875,5,8,6,9,1,3,0,1,331
Manhattan,8,12,0.4,0,0,13,18,0.419,1924,1991,L1,0.0,0.0,62.064516129032256,64.2258064516129,7,6,5,11,1,1,0,0,347
Canisius,7,13,0.35,0,0,12,20,0.375,2196,2265,L1,0.0,0.0,68.625,70.78125,7,6,4,12,1,2,0,0,215
Marist,6,14,0.3,0,0,7,23,0.233,1816,1970,L5,0.0,0.0,60.53333333333333,65.66666666666667,4,10,3,12,0,1,0,0,339
