STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
N Carolina Cent,13,3,0.813,0,0,18,13,0.581,2162,2045,W6,0.0,0.0,69.74193548387096,65.96774193548387,12,0,5,13,1,0,0,1,266
Norfolk State,12,4,0.75,0,0,16,15,0.516,2186,2012,W3,0.0,0.0,70.51612903225806,64.90322580645162,11,1,4,12,1,2,0,0,246
N Carolina A&,12,4,0.75,0,0,17,15,0.531,2311,2305,W1,0.0,0.0,72.21875,72.03125,11,1,4,12,2,2,0,1,178
Florida A&,10,6,0.625,0,0,12,15,0.444,1824,1984,L1,0.0,0.0,67.55555555555556,73.48148148148148,8,0,4,13,0,2,0,2,340
Bethune-Cookman,10,6,0.625,0,0,16,14,0.5329999999999999,2239,2167,W1,0.0,0.0,74.63333333333334,72.23333333333333,10,1,4,13,2,0,0,1,133
Morgan State,9,7,0.563,0,0,15,16,0.484,2182,2197,L2,0.0,0.0,70.38709677419354,70.87096774193549,8,6,7,7,0,3,0,1,54
Coppin State,7,9,0.43799999999999994,0,0,11,20,0.355,2109,2298,W3,0.0,0.0,68.03225806451613,74.12903225806451,5,5,6,15,0,0,0,0,200
South Carolina St,6,10,0.375,0,0,11,18,0.379,2037,2180,L6,0.0,0.0,70.24137931034483,75.17241379310343,8,5,3,12,0,1,0,1,314
Maryland E Shore,4,12,0.25,0,0,5,27,0.156,1841,2278,L6,0.0,0.0,57.53125,71.1875,4,6,1,20,0,1,0,1,333
Delaware State,4,12,0.25,0,0,6,26,0.188,2350,2655,L1,0.0,0.0,73.4375,82.96875,3,11,2,13,1,2,0,0,308
Howard,1,15,0.063,0,0,4,29,0.121,2306,2682,L1,0.0,0.0,69.87878787878788,81.27272727272727,2,13,1,14,1,2,0,0,175
