STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
"San Diego State
SDSU",17,1,0.9440000000000001,0,0,30,2,0.938,2395,1903,L1,0.0,0.0,74.84375,59.46875,14,1,11,0,5,1,0,0,66
"UNLV
UNLV",12,6,0.667,0,0,17,15,0.531,2307,2242,L1,0.0,0.0,72.09375,70.0625,12,6,5,7,0,2,1,1,58
"Utah State
USU",12,6,0.667,0,0,26,8,0.765,2600,2179,W3,0.0,0.0,76.47058823529412,64.08823529411765,15,1,4,6,7,1,1,2,7
"Nevada
NEV",12,6,0.667,0,0,19,12,0.613,2391,2243,L2,0.0,0.0,77.12903225806451,72.35483870967742,12,3,4,7,3,2,0,2,69
"Boise State
BSU",11,7,0.611,0,0,20,12,0.625,2430,2223,L1,0.0,0.0,75.9375,69.46875,13,2,4,8,3,2,0,4,36
"Colorado State
CSU",11,7,0.611,0,0,20,12,0.625,2417,2307,L1,0.0,0.0,75.53125,72.09375,12,4,5,6,3,2,0,3,22
"New Mexico
UN",7,11,0.389,0,0,19,14,0.5760000000000001,2531,2483,L1,0.0,0.0,76.6969696969697,75.24242424242425,15,3,2,9,2,2,0,3,5
Fresno State,7,11,0.389,0,0,11,19,0.36700000000000005,2075,2068,L1,0.0,0.0,69.16666666666667,68.93333333333334,7,7,4,10,0,2,0,4,252
Air Force,5,13,0.278,0,0,12,20,0.375,2338,2386,L1,0.0,0.0,73.0625,74.5625,8,7,3,9,1,4,0,2,60
"San Jose State
SJSU",3,15,0.16699999999999998,0,0,7,24,0.226,2167,2523,L10,0.0,0.0,69.90322580645162,81.38709677419354,6,10,1,12,0,2,0,2,174
Wyoming,2,16,0.111,0,0,9,24,0.273,2070,2308,L1,0.0,0.0,62.72727272727273,69.93939393939394,4,13,3,8,2,3,0,3,285
