STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
"Kentucky
U",15,3,0.833,0,0,25,6,0.8059999999999999,2307,2049,W1,0.0,0.0,74.4193548387097,66.09677419354838,16,2,8,2,1,2,4,2,190
"LSU
LSU",12,6,0.667,0,0,21,10,0.677,2495,2271,W1,0.0,0.0,80.48387096774194,73.25806451612904,15,2,5,7,1,1,0,3,109
"Auburn
AU",12,6,0.667,0,0,25,6,0.8059999999999999,2419,2182,W1,0.0,0.0,78.03225806451613,70.38709677419354,16,1,5,5,4,0,2,1,129
"Mississippi State
MSS",11,7,0.611,0,0,20,11,0.645,2275,2112,W1,0.0,0.0,73.38709677419354,68.12903225806451,14,2,4,7,2,2,0,3,230
"Florida
FL",11,7,0.611,0,0,19,12,0.613,2228,2047,L1,0.0,0.0,71.87096774193549,66.03225806451613,11,4,4,7,4,1,2,4,219
Texas A&,10,8,0.556,0,0,16,14,0.5329999999999999,1894,1955,W2,0.0,0.0,63.13333333333333,65.16666666666667,11,6,5,4,0,4,1,2,343
"South Carolina
S",10,8,0.556,0,0,18,13,0.581,2275,2156,L1,0.0,0.0,73.38709677419354,69.54838709677419,12,5,6,6,0,2,2,1,288
Tennessee,9,9,0.5,0,0,17,14,0.5479999999999999,2079,1990,L1,0.0,0.0,67.06451612903226,64.19354838709678,11,6,4,7,2,1,3,5,318
"Alabama
AL",8,10,0.444,0,0,16,15,0.516,2542,2449,L2,0.0,0.0,82.0,79.0,10,5,4,8,2,2,2,4,65
Arkansas,7,11,0.389,0,0,20,12,0.625,2426,2228,W1,0.0,0.0,75.8125,69.625,14,4,5,8,1,0,0,2,220
Missouri,7,11,0.389,0,0,15,16,0.484,2081,2020,W1,0.0,0.0,67.12903225806451,65.16129032258064,12,4,2,10,1,2,1,4,315
"Ole Miss
MISS",6,12,0.33299999999999996,0,0,15,17,0.469,2208,2193,L2,0.0,0.0,69.0,68.53125,12,5,1,10,2,2,0,7,306
"Georgia
U",5,13,0.278,0,0,16,16,0.5,2428,2418,W1,0.0,0.0,75.875,75.5625,12,5,2,9,2,2,2,4,156
Vanderbilt,3,15,0.16699999999999998,0,0,11,21,0.344,2295,2399,L1,0.0,0.0,71.71875,74.96875,10,10,1,9,0,2,1,3,229
