STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
"E Tennessee State
ETSU",16,2,0.889,0,0,30,4,0.882,2593,2146,W12,0.0,0.0,78.57575757575758,63.11764705882353,16,1,11,3,3,0,0,1,44
"Furman
FU",15,3,0.833,0,0,25,7,0.7809999999999999,2457,2123,L1,0.0,0.0,79.25806451612904,66.34375,14,1,10,5,1,1,0,1,8
"UNCG
UNCG",13,5,0.722,0,0,23,9,0.7190000000000001,2372,2020,L3,0.0,0.0,79.06666666666666,63.125,14,4,9,4,0,1,0,1,79
"Mercer
M",11,7,0.611,0,0,17,15,0.531,2294,2248,L1,0.0,0.0,60.368421052631575,70.25,9,6,8,6,0,3,0,0,95
"Western Carolina
WCU",10,8,0.556,0,0,19,12,0.613,2444,2317,L1,0.0,0.0,78.83870967741936,74.74193548387096,10,4,8,7,1,1,0,0,93
"Chattanooga
C",10,8,0.556,0,0,20,13,0.606,2410,2261,L1,0.0,0.0,70.88235294117645,68.51515151515152,10,4,7,8,3,1,0,1,111
Wofford,8,10,0.444,0,0,19,16,0.5429999999999999,2523,2399,L1,0.0,0.0,78.84375,68.54285714285714,10,5,6,10,3,1,1,1,103
"Samford
SAM",4,14,0.222,0,0,10,23,0.303,2448,2711,L1,0.0,0.0,66.16216216216216,82.15151515151516,7,8,3,14,0,1,0,0,23
"VMI
VMI",3,15,0.16699999999999998,0,0,9,24,0.273,2380,2346,L1,0.0,0.0,56.66666666666666,71.0909090909091,5,10,2,12,2,2,0,0,51
"Citadel
CI",0,18,0.0,0,0,6,24,0.2,2244,2433,L19,0.0,0.0,62.33333333333334,81.1,3,11,3,12,0,1,0,0,94
