STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
Stephen F Austin,19,1,0.95,0,0,28,3,0.903,2499,2077,W15,0.0,0.0,80.61290322580646,67.0,16,1,12,2,0,0,1,0,37
Abilene Christian,15,5,0.75,0,0,20,11,0.645,2352,2024,W1,0.0,0.0,75.87096774193549,65.29032258064517,13,3,7,8,0,0,0,0,173
Nicholls State,15,5,0.75,0,0,21,10,0.677,2388,2144,W3,0.0,0.0,77.03225806451613,69.16129032258064,13,1,7,8,1,1,0,1,48
Northwstern St,11,9,0.55,0,0,15,15,0.5,2265,2270,W3,0.0,0.0,75.5,75.66666666666667,9,5,5,10,1,0,0,0,309
Sam Houston State,11,9,0.55,0,0,18,13,0.581,2417,2242,L3,0.0,0.0,77.96774193548387,72.3225806451613,12,3,6,10,0,0,0,0,16
Texas A&M-,10,10,0.5,0,0,14,18,0.43799999999999994,2109,2199,L1,0.0,0.0,65.90625,68.71875,10,6,4,11,0,1,0,0,276
McNeese State,10,10,0.5,0,0,15,17,0.469,2540,2390,L1,0.0,0.0,79.375,74.6875,10,5,5,11,0,1,0,0,49
Lamar,10,10,0.5,0,0,17,15,0.531,2312,2227,W1,0.0,0.0,72.25,69.59375,10,5,6,10,1,0,0,1,128
Central Arkansas,9,11,0.45,0,0,10,21,0.32299999999999995,2316,2553,L3,0.0,0.0,74.70967741935483,82.35483870967742,8,4,2,16,0,1,0,2,131
Incarnate Word,6,14,0.3,0,0,9,22,0.29,2050,2292,L5,0.0,0.0,66.12903225806451,73.93548387096773,7,9,2,13,0,0,0,0,322
New Orleans,5,15,0.25,0,0,9,21,0.3,2262,2323,W1,0.0,0.0,75.4,77.43333333333334,6,8,3,13,0,0,0,1,105
SE Louisiana,5,15,0.25,0,0,8,23,0.258,2157,2429,L1,0.0,0.0,69.58064516129032,78.35483870967742,6,8,2,14,0,1,0,0,287
Houston Baptist,4,16,0.2,0,0,4,25,0.138,2323,2723,L1,0.0,0.0,80.10344827586206,93.89655172413794,2,9,2,15,0,1,0,2,248
