Team,Seed,TeamID
Kansas,1,169
Robert Morris,16,165
NC Central,16,266
Arizona St.,8,235
Florida,9,220
Wisconsin,5,222
ETSU,12,44
Kentucky,4,200
Vermont,13,168
Illinois,6,107
Cincinnati,11,166
Duke,3,27
Little Rock,14,86
Michigan,7,160
Utah St.,10,7
Creighton,2,38
Belmont,15,13
Dayton,1,26
Winthrop,16,10
Saint Mary's,8,18
Oklahoma,9,251
Auburn,5,129
Akron,12,159
Louisville,4,134
Liberty,13,198
West Virginia,6,232
Rutgers,11,207
Michigan St.,3,78
North Texas,14,62
USC,7,152
Indiana,10,132
Villanova,2,208
North Dakota St.,15,96
Baylor,1,298
Boston University,16,135
Marquette,8,33
Arizona,9,81
Ohio St.,5,163
Yale,12,189
Butler,4,167
Bradley,13,90
Virginia,6,349
Richmond,11,106
Wichita St.,11,148
Maryland,3,204
UC Irvine,14,85
Providence,7,125
LSU,10,109
Florida St.,2,203
Northern Kentucky,15,41
Gonzaga,1,1
Siena,16,307
Prairie View,16,267
Houston,8,130
Colorado,9,184
Penn State,5,77
Stephen F. Austin,12,37
Oregon,4,47
New Mexico St.,13,120
BYU,6,6
UCLA,11,238
Stanford,11,241
Seton Hall,3,117
Hofstra,14,19
Iowa,7,50
Xavier,10,205
San Diego St.,2,66
E. Washington,15,138
