Team1,Seed1,TeamID,Region
Kansas,1,169,MW
Robert Morris,16,165,MW
Arizona St.,8,235,MW
Florida,9,220,MW
Wisconsin,5,222,MW
ETSU,12,44,MW
Kentucky,4,200,MW
Vermont,13,168,MW
Illinois,6,107,MW
Cincinnati,11,166,MW
Duke,3,27,MW
Little Rock,14,86,MW
Michigan,7,160,MW
Utah St.,10,7,MW
Creighton,2,38,MW
Belmont,15,13,MW
Dayton,1,26,E
Winthrop,16,10,E
Saint Mary's,8,18,E
Oklahoma,9,251,E
Auburn,5,129,E
Akron,12,159,E
Louisville,4,134,E
Liberty,13,198,E
West Virginia,6,232,E
Rutgers,11,207,E
Michigan St.,3,78,E
North Texas,14,62,E
USC,7,152,E
Indiana,10,132,E
Villanova,2,208,E
North Dakota St.,15,96,E
Baylor,1,298,S
Boston University,16,135,S
Marquette,8,33,S
Arizona,9,81,S
Ohio St.,5,163,S
Yale,12,189,S
Butler,4,167,S
Bradley,13,90,S
Virginia,6,349,S
Wichita St.,11,148,S
Maryland,3,204,S
UC Irvine,14,85,S
Providence,7,125,S
LSU,10,109,S
Florida St.,2,203,S
Northern Kentucky,15,41,S
Gonzaga,1,1,W
Siena,16,307,W
Houston,8,130,W
Colorado,9,184,W
Penn State,5,77,W
Stephen F. Austin,12,37,W
Oregon,4,47,W
New Mexico St.,13,120,W
BYU,6,6,W
Stanford,11,241,W
Seton Hall,3,117,W
Hofstra,14,19,W
Iowa,7,50,W
Xavier,10,205,W
San Diego St.,2,66,W
E. Washington,15,138,W
